z,quality
0,-0.000
1,-0.000
2,-0.000
3,0.004
4,6.918E-4
5,6.872E-4
6,7.117E-4
7,7.577E-4
8,8.398E-4
9,0.001
10,0.002
11,0.004
12,0.009
13,0.018
14,0.022
15,0.022
16,0.019
17,0.013
18,0.008
19,0.007
20,0.007
21,0.007
22,0.008
23,0.009
24,0.009
25,0.009
26,0.008
27,0.007
28,0.008
29,0.010
30,0.013
31,0.015
32,0.016
33,0.015
34,0.013
35,0.011
36,0.009
37,0.008
38,0.006
39,0.005
40,0.005
41,0.005
42,0.005
43,0.005
44,0.006
45,0.007
46,0.007
47,0.008
48,0.008
49,0.007
50,0.007
51,0.005
52,0.004
53,0.003
54,0.003
55,0.003
56,0.003
57,0.003
58,0.003
59,0.003
60,0.003
61,0.003
62,0.002
63,0.002
64,0.002
65,0.003
66,0.003
67,0.003
68,0.003
69,0.003
70,0.003
71,0.003
72,0.003
73,0.002
74,0.002
75,0.002
76,0.002
77,0.002
78,0.002
79,0.003
80,0.003
81,0.003
82,0.003
83,0.003
84,0.003
85,0.003
86,0.003
87,0.003
88,0.003
89,0.002
90,0.002
91,0.002
92,0.001
93,0.001
94,0.001
95,0.002
96,0.002
97,0.001
98,0.001
99,0.001
100,0.001
101,9.513E-4
102,8.824E-4
103,8.420E-4
104,8.076E-4
105,7.770E-4
106,7.487E-4
107,7.300E-4
108,7.115E-4
109,6.892E-4
110,6.743E-4
111,6.676E-4
112,6.695E-4
113,6.692E-4
114,6.554E-4
115,6.424E-4
116,6.316E-4
117,6.202E-4
118,6.178E-4
119,6.127E-4
120,6.052E-4
121,5.943E-4
122,5.875E-4
123,5.799E-4
124,5.734E-4
125,5.722E-4
126,5.727E-4
127,5.752E-4
128,5.750E-4
129,5.765E-4
130,5.719E-4
131,5.661E-4
132,5.615E-4
133,5.568E-4
134,5.520E-4
135,5.481E-4
136,5.454E-4
137,5.496E-4
138,5.528E-4
139,5.614E-4
140,5.679E-4
141,5.744E-4
142,5.849E-4
143,5.959E-4
144,6.049E-4
145,6.123E-4
146,6.221E-4
147,6.320E-4
148,6.383E-4
149,6.374E-4
150,6.410E-4
151,6.480E-4
152,6.541E-4
153,6.604E-4
154,6.602E-4
155,6.658E-4
156,6.747E-4
157,6.883E-4
158,6.947E-4
159,6.984E-4
160,6.982E-4
161,6.926E-4
162,6.897E-4
163,6.890E-4
164,6.940E-4
165,6.974E-4
166,7.036E-4
167,7.166E-4
168,7.328E-4
169,7.467E-4
170,7.583E-4
171,7.807E-4
172,7.992E-4
173,8.220E-4
174,8.358E-4
175,8.376E-4
176,8.379E-4
177,8.480E-4
178,8.628E-4
179,8.845E-4
180,9.101E-4
181,9.376E-4
182,9.692E-4
183,0.001
184,0.001
185,0.001
186,0.001
187,0.001
188,0.001
189,0.001
190,0.001
191,0.001
192,0.001
193,0.001
194,0.001
195,0.001
196,0.001
197,0.001
198,0.001
199,0.001
200,0.001
201,0.002
202,0.002
203,0.002
204,0.002
205,0.002
206,0.002
207,0.002
208,0.002
209,0.002
210,0.002
211,0.002
212,0.002
213,0.002
214,0.002
215,0.003
216,0.003
217,0.003
218,0.003
219,0.004
220,0.004
221,0.004
222,0.005
223,0.005
224,0.005
225,0.006
226,0.007
227,0.008
228,0.008
229,0.009
230,0.010
231,0.010
232,0.009
233,0.008
234,0.008
235,0.008
236,0.008
237,0.007
238,0.007
239,0.006
240,0.004
241,0.003
242,0.002
243,9.956E-4
244,7.796E-4
245,7.098E-4
246,6.562E-4
247,6.202E-4
248,6.025E-4
249,5.888E-4
250,5.794E-4
251,5.658E-4
252,5.619E-4
253,5.477E-4
254,5.405E-4
255,5.360E-4
256,5.385E-4
257,5.387E-4
258,5.426E-4
259,5.402E-4
260,5.388E-4
261,5.313E-4
262,5.297E-4
263,5.250E-4
264,5.234E-4
265,5.236E-4
266,5.270E-4
267,5.209E-4
268,5.232E-4
269,5.289E-4
270,5.391E-4
271,5.785E-4
272,0.005
273,-0.000
274,-0.000
275,-0.000
276,-0.000
