z,quality
0,-0.000
1,-0.000
2,-0.000
3,0.004
4,6.918E-4
5,6.872E-4
6,7.117E-4
7,7.577E-4
8,8.398E-4
9,0.001
10,0.002
11,0.004
12,0.009
13,0.018
14,0.022
15,0.022
16,0.019
17,0.013
18,0.008
19,0.007
20,0.007
21,0.007
22,0.008
23,0.009
24,0.010
25,0.009
26,0.008
27,0.008
28,0.008
29,0.011
30,0.015
31,0.016
32,0.017
33,0.016
34,0.015
35,0.013
36,0.011
37,0.009
38,0.007
39,0.006
40,0.006
41,0.006
42,0.007
43,0.007
44,0.008
45,0.009
46,0.010
47,0.011
48,0.011
49,0.011
50,0.009
51,0.008
52,0.006
53,0.005
54,0.004
55,0.004
56,0.005
57,0.005
58,0.005
59,0.005
60,0.004
61,0.004
62,0.004
63,0.004
64,0.004
65,0.004
66,0.004
67,0.005
68,0.006
69,0.005
70,0.005
71,0.004
72,0.004
73,0.004
74,0.004
75,0.003
76,0.003
77,0.003
78,0.004
79,0.004
80,0.005
81,0.005
82,0.006
83,0.006
84,0.005
85,0.005
86,0.005
87,0.005
88,0.004
89,0.004
90,0.003
91,0.003
92,0.002
93,0.002
94,0.002
95,0.003
96,0.003
97,0.002
98,0.002
99,0.002
100,0.002
101,0.002
102,0.001
103,0.001
104,0.001
105,0.001
106,0.001
107,0.001
108,0.001
109,0.001
110,9.909E-4
111,9.751E-4
112,9.724E-4
113,9.701E-4
114,9.499E-4
115,9.216E-4
116,8.900E-4
117,8.675E-4
118,8.564E-4
119,8.447E-4
120,8.256E-4
121,8.004E-4
122,7.824E-4
123,7.642E-4
124,7.521E-4
125,7.407E-4
126,7.363E-4
127,7.336E-4
128,7.200E-4
129,7.091E-4
130,6.929E-4
131,6.756E-4
132,6.549E-4
133,6.328E-4
134,6.179E-4
135,6.088E-4
136,5.993E-4
137,5.964E-4
138,5.955E-4
139,5.942E-4
140,5.895E-4
141,5.828E-4
142,5.848E-4
143,5.850E-4
144,5.848E-4
145,5.822E-4
146,5.743E-4
147,5.736E-4
148,5.703E-4
149,5.629E-4
150,5.624E-4
151,5.600E-4
152,5.559E-4
153,5.537E-4
154,5.485E-4
155,5.451E-4
156,5.421E-4
157,5.381E-4
158,5.286E-4
159,5.153E-4
160,5.010E-4
161,4.877E-4
162,4.768E-4
163,4.666E-4
164,4.547E-4
165,4.460E-4
166,4.334E-4
167,4.274E-4
168,4.194E-4
169,4.208E-4
170,4.280E-4
171,4.268E-4
172,4.262E-4
173,4.256E-4
174,4.217E-4
175,4.159E-4
176,4.104E-4
177,4.084E-4
178,4.099E-4
179,4.122E-4
180,4.121E-4
181,4.156E-4
182,4.202E-4
183,4.189E-4
184,4.235E-4
185,4.270E-4
186,4.334E-4
187,4.364E-4
188,4.394E-4
189,4.374E-4
190,4.390E-4
191,4.397E-4
192,4.402E-4
193,4.418E-4
194,4.413E-4
195,4.420E-4
196,4.428E-4
197,4.372E-4
198,4.337E-4
199,4.246E-4
200,4.260E-4
201,4.186E-4
202,4.217E-4
203,4.193E-4
204,4.196E-4
205,4.213E-4
206,4.244E-4
207,4.240E-4
208,4.255E-4
209,4.236E-4
210,4.204E-4
211,4.187E-4
212,4.136E-4
213,4.176E-4
214,4.191E-4
215,4.264E-4
216,4.288E-4
217,4.326E-4
218,4.398E-4
219,4.468E-4
220,4.586E-4
221,4.708E-4
222,4.906E-4
223,5.147E-4
224,5.413E-4
225,5.749E-4
226,6.105E-4
227,6.542E-4
228,7.046E-4
229,7.623E-4
230,8.278E-4
231,8.997E-4
232,9.439E-4
233,9.267E-4
234,8.564E-4
235,7.881E-4
236,7.510E-4
237,7.343E-4
238,7.220E-4
239,7.096E-4
240,6.970E-4
241,6.697E-4
242,6.280E-4
243,5.887E-4
244,5.547E-4
245,5.433E-4
246,5.361E-4
247,5.287E-4
248,5.294E-4
249,5.530E-4
250,0.002
251,-0.000
252,-0.000
253,-0.000
254,-0.000
255,-0.000
256,-0.000
257,-0.000
258,-0.000
259,-0.000
260,-0.000
261,-0.000
262,-0.000
263,-0.000
264,-0.000
265,-0.000
266,-0.000
267,-0.000
268,-0.000
269,-0.000
270,-0.000
271,-0.000
272,-0.000
273,-0.000
274,-0.000
275,-0.000
276,-0.000
