z,quality
0,-0.000
1,2.895E-4
2,3.200E-4
3,4.016E-4
4,6.269E-4
5,0.001
6,0.002
7,0.003
8,0.002
9,0.002
10,0.002
11,0.002
12,0.002
13,0.004
14,0.004
15,0.004
16,0.003
17,0.004
18,0.003
19,0.002
20,0.002
21,0.002
22,0.002
23,0.002
24,0.002
25,0.002
26,0.002
27,0.002
28,0.002
29,0.001
30,0.001
31,0.001
32,0.001
33,0.001
34,0.001
35,0.001
36,0.001
37,0.001
38,0.001
39,0.001
40,0.001
41,0.001
42,0.001
43,0.001
44,9.898E-4
45,9.755E-4
46,9.338E-4
47,9.483E-4
48,9.158E-4
49,8.986E-4
50,8.913E-4
51,8.471E-4
52,8.386E-4
53,8.226E-4
54,7.950E-4
55,7.714E-4
56,7.509E-4
57,7.400E-4
58,6.953E-4
59,6.867E-4
60,6.723E-4
61,6.490E-4
62,6.472E-4
63,6.220E-4
64,6.129E-4
65,6.044E-4
66,5.726E-4
67,5.539E-4
68,5.297E-4
69,5.238E-4
70,5.119E-4
71,4.891E-4
72,4.829E-4
73,4.615E-4
74,4.577E-4
75,4.494E-4
76,4.338E-4
77,4.279E-4
78,4.098E-4
79,4.086E-4
80,3.939E-4
81,3.852E-4
82,3.787E-4
83,3.671E-4
84,3.658E-4
85,3.565E-4
86,3.503E-4
87,3.428E-4
88,3.304E-4
89,3.280E-4
90,3.215E-4
91,3.139E-4
92,3.134E-4
93,3.051E-4
94,3.044E-4
95,3.007E-4
96,2.952E-4
97,2.902E-4
98,2.839E-4
99,2.825E-4
100,2.769E-4
101,2.765E-4
102,2.736E-4
103,2.717E-4
104,2.697E-4
105,2.650E-4
106,2.656E-4
107,2.645E-4
108,2.621E-4
109,2.593E-4
110,2.573E-4
111,2.572E-4
112,2.572E-4
113,2.566E-4
114,2.570E-4
115,2.539E-4
116,2.528E-4
117,2.536E-4
118,2.520E-4
119,2.512E-4
120,2.510E-4
121,2.484E-4
122,2.473E-4
123,2.499E-4
124,2.481E-4
125,2.485E-4
126,2.457E-4
127,2.460E-4
128,2.454E-4
129,2.470E-4
130,2.466E-4
131,2.480E-4
132,2.441E-4
133,2.467E-4
134,2.450E-4
135,2.444E-4
136,2.446E-4
137,2.450E-4
138,2.445E-4
139,-0.000
140,-0.000
