z,quality
0,-0.000
1,-0.000
2,0.004
3,5.375E-4
4,5.361E-4
5,5.412E-4
6,5.404E-4
7,5.399E-4
8,5.368E-4
9,5.313E-4
10,5.273E-4
11,5.262E-4
12,5.194E-4
13,5.154E-4
14,5.109E-4
15,5.141E-4
16,5.133E-4
17,5.092E-4
18,5.047E-4
19,5.046E-4
20,5.066E-4
21,4.496E-4
22,4.234E-4
23,4.273E-4
24,4.522E-4
25,4.901E-4
26,5.573E-4
27,6.571E-4
28,8.132E-4
29,0.001
30,0.001
31,0.002
32,0.002
33,0.002
34,0.002
35,0.003
36,0.003
37,0.003
38,0.003
39,0.003
40,0.003
41,0.003
42,0.003
43,0.003
44,0.003
45,0.003
46,0.003
47,0.003
48,0.003
49,0.003
50,0.003
51,0.003
52,0.002
53,0.002
54,0.002
55,0.002
56,0.002
57,0.002
58,0.002
59,0.002
60,0.002
61,0.002
62,0.002
63,0.002
64,0.002
65,0.002
66,0.002
67,0.002
68,0.002
69,0.002
70,0.002
71,0.002
72,0.002
73,0.002
74,0.002
75,0.002
76,0.002
77,0.002
78,0.002
79,0.002
80,0.002
81,0.002
82,0.002
83,0.002
84,0.002
85,0.002
86,0.002
87,0.002
88,0.002
89,0.002
90,0.002
91,0.002
92,0.002
93,0.002
94,0.002
95,0.002
96,0.002
97,0.002
98,0.002
99,0.002
100,0.002
101,0.002
102,0.002
103,0.002
104,0.002
105,0.002
106,0.002
107,0.002
108,0.002
109,0.002
110,0.001
111,0.001
112,0.001
113,0.001
114,0.001
115,0.001
116,0.001
117,0.001
118,0.001
119,0.001
120,0.001
121,0.001
122,0.001
123,0.001
124,0.001
125,0.001
126,0.001
127,0.001
128,0.001
129,0.001
130,0.001
131,0.001
132,0.001
133,0.001
134,0.001
135,0.001
136,0.001
137,0.001
138,0.001
139,0.001
140,0.001
141,0.001
142,0.001
143,0.001
144,0.001
145,0.001
146,0.001
147,0.001
148,0.001
149,0.001
150,0.001
151,0.001
152,0.001
153,0.001
154,0.001
155,0.001
156,0.001
157,0.001
158,0.001
159,0.001
160,0.001
161,0.001
162,0.001
163,0.001
164,0.001
165,0.001
166,0.001
167,0.001
168,0.001
169,0.001
170,0.001
171,0.001
172,0.001
173,0.001
174,0.001
175,0.001
176,0.001
177,0.002
178,0.002
179,0.002
180,0.002
181,0.001
182,0.001
183,0.001
184,0.001
185,0.001
186,0.001
187,0.001
188,0.001
189,0.001
190,0.001
191,0.001
192,0.001
193,0.001
194,0.001
195,0.002
196,0.001
197,0.001
198,0.001
199,0.001
200,0.001
201,0.001
202,0.002
203,0.001
204,0.001
205,0.001
206,0.001
207,0.001
208,0.001
209,0.001
210,0.001
211,0.001
212,0.001
213,0.001
214,0.001
215,0.001
216,0.001
217,0.001
218,0.002
219,0.002
220,0.001
221,0.001
222,0.001
223,0.001
224,0.001
225,0.002
226,0.002
227,0.002
228,0.002
229,0.002
230,0.002
231,0.001
232,0.001
233,0.001
234,0.001
235,0.001
236,0.001
237,0.001
238,0.001
239,0.001
240,0.001
241,0.001
242,0.002
243,0.002
244,0.002
245,0.002
246,0.002
247,0.002
248,0.002
249,0.002
250,0.002
251,0.002
252,0.002
253,0.002
254,0.002
255,0.002
256,0.002
257,0.002
258,0.002
259,0.002
260,0.002
261,0.002
262,0.002
263,0.002
264,0.002
265,0.002
266,0.002
267,0.002
268,0.001
269,0.002
270,0.002
271,0.002
272,0.002
273,0.002
274,0.002
275,0.002
276,0.002
277,0.002
278,0.002
279,0.002
280,0.002
281,0.002
282,0.002
283,0.002
284,0.002
285,0.002
286,0.002
287,0.002
288,0.002
289,0.002
290,0.002
291,0.002
292,0.002
293,0.002
294,0.002
295,0.002
296,0.003
297,0.003
298,0.003
299,0.003
300,0.003
301,0.003
302,0.003
303,0.004
304,0.004
305,0.004
306,0.004
307,0.005
308,0.005
309,0.005
310,0.004
311,0.004
312,0.004
313,0.003
314,0.003
315,0.003
316,0.002
317,0.002
318,0.001
319,0.001
320,8.373E-4
321,6.639E-4
322,5.543E-4
323,4.923E-4
324,4.597E-4
325,4.473E-4
326,4.388E-4
327,4.359E-4
328,4.290E-4
329,4.266E-4
330,4.267E-4
331,4.262E-4
332,4.260E-4
333,4.214E-4
334,4.273E-4
335,4.450E-4
336,4.827E-4
337,5.184E-4
338,5.325E-4
339,5.313E-4
340,5.485E-4
341,5.836E-4
342,5.978E-4
343,5.621E-4
344,5.136E-4
345,4.817E-4
346,4.770E-4
347,4.632E-4
348,4.580E-4
349,4.419E-4
350,4.382E-4
351,5.936E-4
352,5.903E-4
353,0.002
354,-0.000
355,-0.000
356,-0.000
