z,quality
0,-0.000
1,6.255E-4
2,9.055E-4
3,0.002
4,0.003
5,0.004
6,0.005
7,0.005
8,0.004
9,0.004
10,0.004
11,0.003
12,0.003
13,0.003
14,0.002
15,0.002
16,0.003
17,0.002
18,0.002
19,0.002
20,0.002
21,0.002
22,0.002
23,0.002
24,0.002
25,0.001
26,0.001
27,0.001
28,0.001
29,0.001
30,0.001
31,0.001
32,0.001
33,0.001
34,0.001
35,0.001
36,0.001
37,0.001
38,0.001
39,0.001
40,0.001
41,0.001
42,0.001
43,0.001
44,0.001
45,0.001
46,0.001
47,0.001
48,0.001
49,0.001
50,0.001
51,0.001
52,0.001
53,0.001
54,0.001
55,0.001
56,9.878E-4
57,9.478E-4
58,9.582E-4
59,9.392E-4
60,9.266E-4
61,9.236E-4
62,8.909E-4
63,9.067E-4
64,8.843E-4
65,8.797E-4
66,8.587E-4
67,8.035E-4
68,7.996E-4
69,7.704E-4
70,7.588E-4
71,7.482E-4
72,7.227E-4
73,7.242E-4
74,7.067E-4
75,6.958E-4
76,6.812E-4
77,6.620E-4
78,6.619E-4
79,6.403E-4
80,6.305E-4
81,6.248E-4
82,6.022E-4
83,6.051E-4
84,5.782E-4
85,5.722E-4
86,5.579E-4
87,5.492E-4
88,5.356E-4
89,5.148E-4
90,5.148E-4
91,5.048E-4
92,4.908E-4
93,4.929E-4
94,4.891E-4
95,4.809E-4
96,4.760E-4
97,4.684E-4
98,4.666E-4
99,4.618E-4
100,4.547E-4
101,4.436E-4
102,4.423E-4
103,4.410E-4
104,4.380E-4
105,4.440E-4
106,4.440E-4
107,4.441E-4
108,4.525E-4
109,4.470E-4
110,4.427E-4
111,4.294E-4
112,4.143E-4
113,4.049E-4
114,3.945E-4
115,3.907E-4
116,3.870E-4
117,3.836E-4
118,3.806E-4
119,3.780E-4
120,3.782E-4
121,3.757E-4
122,3.747E-4
123,3.673E-4
124,3.645E-4
125,3.643E-4
126,3.624E-4
127,3.649E-4
128,3.664E-4
129,3.626E-4
130,3.639E-4
131,3.655E-4
132,3.656E-4
133,3.642E-4
134,3.624E-4
135,3.592E-4
136,3.591E-4
137,3.577E-4
138,3.599E-4
139,-0.000
