z,quality
0,-0.000
1,-0.000
2,-0.000
3,0.006
4,6.852E-4
5,6.877E-4
6,6.905E-4
7,6.612E-4
8,6.311E-4
9,6.206E-4
10,6.165E-4
11,6.246E-4
12,6.191E-4
13,6.333E-4
14,6.543E-4
15,6.803E-4
16,7.262E-4
17,8.322E-4
18,0.001
19,0.002
20,0.003
21,0.004
22,0.005
23,0.007
24,0.008
25,0.008
26,0.009
27,0.009
28,0.009
29,0.009
30,0.008
31,0.007
32,0.006
33,0.006
34,0.006
35,0.006
36,0.007
37,0.007
38,0.007
39,0.007
40,0.007
41,0.007
42,0.006
43,0.006
44,0.006
45,0.006
46,0.006
47,0.006
48,0.006
49,0.006
50,0.006
51,0.005
52,0.005
53,0.005
54,0.006
55,0.006
56,0.005
57,0.005
58,0.005
59,0.005
60,0.005
61,0.005
62,0.005
63,0.005
64,0.006
65,0.008
66,0.008
67,0.008
68,0.007
69,0.006
70,0.006
71,0.006
72,0.005
73,0.005
74,0.004
75,0.004
76,0.003
77,0.003
78,0.003
79,0.003
80,0.003
81,0.003
82,0.003
83,0.003
84,0.002
85,0.002
86,0.002
87,0.002
88,0.002
89,0.002
90,0.002
91,0.002
92,0.002
93,0.002
94,0.002
95,0.002
96,0.002
97,0.002
98,0.002
99,0.002
100,0.002
101,0.002
102,0.002
103,0.002
104,0.002
105,0.002
106,0.002
107,0.002
108,0.001
109,0.001
110,0.001
111,0.001
112,0.001
113,0.001
114,0.001
115,0.001
116,0.001
117,0.001
118,0.001
119,0.001
120,0.001
121,0.001
122,0.001
123,0.001
124,0.001
125,0.001
126,9.900E-4
127,9.847E-4
128,9.958E-4
129,0.001
130,0.001
131,0.001
132,9.862E-4
133,9.698E-4
134,9.430E-4
135,9.169E-4
136,8.937E-4
137,8.744E-4
138,8.602E-4
139,8.521E-4
140,8.422E-4
141,8.342E-4
142,8.078E-4
143,7.807E-4
144,7.566E-4
145,7.440E-4
146,7.411E-4
147,7.369E-4
148,7.445E-4
149,7.542E-4
150,7.571E-4
151,7.571E-4
152,7.521E-4
153,7.360E-4
154,7.284E-4
155,7.212E-4
156,7.077E-4
157,6.976E-4
158,6.916E-4
159,6.879E-4
160,6.923E-4
161,6.835E-4
162,6.799E-4
163,6.727E-4
164,6.579E-4
165,6.470E-4
166,6.413E-4
167,6.407E-4
168,6.393E-4
169,6.278E-4
170,6.174E-4
171,6.115E-4
172,6.091E-4
173,6.074E-4
174,5.988E-4
175,5.926E-4
176,5.837E-4
177,5.791E-4
178,5.735E-4
179,5.675E-4
180,5.625E-4
181,5.487E-4
182,5.346E-4
183,5.352E-4
184,5.329E-4
185,5.253E-4
186,5.221E-4
187,5.222E-4
188,5.175E-4
189,5.197E-4
190,5.139E-4
191,5.065E-4
192,4.968E-4
193,4.933E-4
194,4.902E-4
195,4.887E-4
196,4.825E-4
197,4.763E-4
198,4.743E-4
199,4.647E-4
200,4.626E-4
201,4.568E-4
202,4.584E-4
203,4.547E-4
204,4.539E-4
205,4.518E-4
206,4.515E-4
207,4.481E-4
208,4.486E-4
209,4.459E-4
210,4.501E-4
211,4.560E-4
212,4.634E-4
213,4.666E-4
214,4.704E-4
215,4.677E-4
216,4.661E-4
217,4.748E-4
218,4.778E-4
219,4.875E-4
220,4.882E-4
221,4.985E-4
222,5.057E-4
223,5.110E-4
224,5.184E-4
225,5.241E-4
226,5.293E-4
227,5.412E-4
228,5.594E-4
229,5.811E-4
230,6.033E-4
231,6.377E-4
232,6.720E-4
233,6.839E-4
234,7.028E-4
235,0.001
236,-0.000
237,-0.000
238,-0.000
239,-0.000
240,-0.000
241,-0.000
242,-0.000
243,-0.000
244,-0.000
245,-0.000
246,-0.000
247,-0.000
248,-0.000
249,-0.000
250,-0.000
251,-0.000
252,-0.000
253,-0.000
254,-0.000
255,-0.000
256,-0.000
257,-0.000
258,-0.000
259,-0.000
260,-0.000
261,-0.000
262,-0.000
263,-0.000
264,-0.000
265,-0.000
266,-0.000
267,-0.000
268,-0.000
