z,quality
0,-0.000
1,-0.000
2,-0.000
3,-0.000
4,-0.000
5,-0.000
6,-0.000
7,-0.000
8,-0.000
9,-0.000
10,-0.000
11,-0.000
12,-0.000
13,0.005
14,0.003
15,0.002
16,0.002
17,0.002
18,0.002
19,9.837E-4
20,0.001
21,0.001
22,0.001
23,0.002
24,0.003
25,0.004
26,0.005
27,0.005
28,0.005
29,0.005
30,0.006
31,0.006
32,0.006
33,0.006
34,0.006
35,0.006
36,0.006
37,0.006
38,0.006
39,0.006
40,0.006
41,0.005
42,0.005
43,0.005
44,0.004
45,0.004
46,0.004
47,0.003
48,0.003
49,0.003
50,0.003
51,0.003
52,0.003
53,0.002
54,0.002
55,0.002
56,0.002
57,0.002
58,0.002
59,0.002
60,0.002
61,0.002
62,0.002
63,0.002
64,0.002
65,0.002
66,0.002
67,0.002
68,0.001
69,0.001
70,0.001
71,0.001
72,0.001
73,0.001
74,0.001
75,0.001
76,0.001
77,9.964E-4
78,9.672E-4
79,9.449E-4
80,9.194E-4
81,8.953E-4
82,8.777E-4
83,8.645E-4
84,8.450E-4
85,8.231E-4
86,7.860E-4
87,7.487E-4
88,7.230E-4
89,7.019E-4
90,6.865E-4
91,6.745E-4
92,6.679E-4
93,6.638E-4
94,6.608E-4
95,6.556E-4
96,6.498E-4
97,6.305E-4
98,6.136E-4
99,6.011E-4
100,5.971E-4
101,5.902E-4
102,5.829E-4
103,5.718E-4
104,5.589E-4
105,5.527E-4
106,5.464E-4
107,5.440E-4
108,5.393E-4
109,5.371E-4
110,5.311E-4
111,5.232E-4
112,5.186E-4
113,5.201E-4
114,5.202E-4
115,5.176E-4
116,5.105E-4
117,5.061E-4
118,5.012E-4
119,4.936E-4
120,4.894E-4
121,4.896E-4
122,4.934E-4
123,5.002E-4
124,5.074E-4
125,5.113E-4
126,5.178E-4
127,5.176E-4
128,5.229E-4
129,5.257E-4
130,5.311E-4
131,5.371E-4
132,5.434E-4
133,5.456E-4
134,5.525E-4
135,5.565E-4
136,5.601E-4
137,5.623E-4
138,5.668E-4
139,5.808E-4
140,5.942E-4
141,6.103E-4
142,6.245E-4
143,6.429E-4
144,6.609E-4
145,6.696E-4
146,6.783E-4
147,6.837E-4
148,6.932E-4
149,7.014E-4
150,7.139E-4
151,7.289E-4
152,7.538E-4
153,7.781E-4
154,8.091E-4
155,8.391E-4
156,8.661E-4
157,8.942E-4
158,9.195E-4
159,9.419E-4
160,9.714E-4
161,0.001
162,0.001
163,0.001
164,0.001
165,0.001
166,0.001
167,0.001
168,0.001
169,0.001
170,0.001
171,0.001
172,0.001
173,0.001
174,0.001
175,0.001
176,0.001
177,0.002
178,0.002
179,0.002
180,0.002
181,0.002
182,0.002
183,0.002
184,0.002
185,0.002
186,0.002
187,0.002
188,0.003
189,0.003
190,0.003
191,0.003
192,0.003
193,0.003
194,0.003
195,0.003
196,0.004
197,0.004
198,0.004
199,0.004
200,0.005
201,0.005
202,0.005
203,0.005
204,0.005
205,0.006
206,0.006
207,0.006
208,0.007
209,0.007
210,0.008
211,0.008
212,0.008
213,0.008
214,0.008
215,0.009
216,0.009
217,0.008
218,0.007
219,0.005
220,0.004
221,0.003
222,0.004
223,0.010
224,-0.000
225,-0.000
226,-0.000
227,-0.000
228,-0.000
229,-0.000
230,-0.000
231,-0.000
232,-0.000
233,-0.000
234,-0.000
235,-0.000
