z,quality
0,41.548
1,41.548
2,41.548
3,41.548
4,41.548
5,41.548
6,41.548
7,41.548
8,41.548
9,41.548
10,41.548
11,45.446
12,46.518
13,46.867
14,45.350
15,47.340
16,53.995
17,55.540
18,52.624
19,50.515
20,50.222
21,51.719
22,57.624
23,54.350
24,50.138
25,51.454
26,55.917
27,56.545
28,53.172
29,57.535
30,62.916
31,55.775
32,49.303
33,41.682
34,47.564
35,49.287
36,50.167
37,50.591
38,51.809
39,54.127
40,53.255
41,44.979
42,45.334
43,49.677
44,47.457
45,45.832
46,46.031
47,48.276
48,48.240
49,48.813
50,47.011
51,43.693
52,42.075
53,42.319
54,42.382
55,42.759
56,41.475
57,39.611
58,39.383
59,37.225
60,37.539
61,35.756
62,36.554
63,36.290
64,34.583
65,34.962
66,31.713
67,34.325
68,33.078
69,32.590
70,32.184
71,32.270
72,31.809
73,30.735
74,27.235
75,28.283
76,27.642
77,28.790
78,28.854
79,26.100
80,26.210
81,27.857
82,27.348
83,26.347
84,27.056
85,25.688
86,26.119
87,24.833
88,25.477
89,24.390
90,23.011
91,23.559
92,22.837
93,21.737
94,20.627
95,21.676
96,20.027
97,19.584
98,16.933
99,18.486
100,16.378
101,17.486
102,17.641
103,17.630
104,15.660
105,15.369
106,14.966
107,14.831
108,14.407
109,15.060
110,14.394
111,13.441
112,14.161
113,12.437
114,15.205
115,13.402
116,13.964
117,14.672
118,14.506
119,13.962
120,13.630
121,11.918
122,11.519
123,12.462
124,11.270
125,10.482
126,10.557
127,11.722
128,12.491
129,11.021
130,10.085
131,8.976
132,9.853
133,9.852
134,9.821
135,9.010
136,8.846
137,8.295
138,9.681
139,10.288
140,12.520
141,12.361
142,10.692
143,10.215
144,9.281
145,9.281
146,9.968
147,9.648
148,8.757
149,7.581
150,9.565
151,9.299
152,11.032
153,11.521
154,8.328
155,10.018
156,8.973
157,10.121
158,10.320
159,8.646
160,7.651
161,9.620
162,11.525
163,10.148
164,8.424
165,11.285
166,10.772
167,9.744
168,8.758
169,10.443
170,8.919
171,9.911
172,11.414
173,9.951
174,8.740
175,10.440
176,9.320
177,9.877
178,9.677
179,10.414
180,11.288
181,10.740
182,10.300
183,10.621
184,9.983
185,9.488
186,10.788
187,11.580
188,9.821
189,11.143
190,7.800
191,10.996
192,8.733
193,11.298
194,10.544
195,10.673
196,9.439
197,10.636
198,9.497
199,11.881
200,11.907
201,10.919
202,10.772
203,12.905
204,12.264
205,13.349
206,12.343
207,14.857
208,15.759
209,15.530
210,18.458
211,18.832
212,18.225
213,16.856
214,16.971
215,15.561
216,15.781
217,13.908
218,13.810
219,13.875
220,14.570
221,15.584
222,16.872
223,16.897
224,15.876
225,17.337
226,28.899
227,0.000
228,0.000
229,0.000
230,0.000
231,0.000
232,0.000
233,0.000
234,0.000
235,0.000
236,0.000
237,0.000
238,0.000
239,0.000
240,0.000
241,0.000
242,0.000
243,0.000
244,0.000
245,0.000
246,0.000
247,0.000
248,0.000
249,0.000
250,0.000
251,0.000
252,0.000
253,0.000
