z,quality
0,41.017
1,41.017
2,41.017
3,41.017
4,41.017
5,41.017
6,41.017
7,41.017
8,41.017
9,41.017
10,41.017
11,43.623
12,47.938
13,50.187
14,50.949
15,51.567
16,55.183
17,56.033
18,54.741
19,55.072
20,52.019
21,52.867
22,57.709
23,54.948
24,52.449
25,54.014
26,56.525
27,56.709
28,54.555
29,59.121
30,61.267
31,54.193
32,50.004
33,45.003
34,49.064
35,50.785
36,49.915
37,50.359
38,51.047
39,53.976
40,51.346
41,45.906
42,45.269
43,49.820
44,49.470
45,47.249
46,46.023
47,48.378
48,49.278
49,48.853
50,47.343
51,45.955
52,42.595
53,42.838
54,43.000
55,43.533
56,43.296
57,39.843
58,40.055
59,39.791
60,39.429
61,38.758
62,38.468
63,36.933
64,35.328
65,36.064
66,33.014
67,34.550
68,35.216
69,34.373
70,34.308
71,33.864
72,32.187
73,32.009
74,30.079
75,28.656
76,28.617
77,29.930
78,29.404
79,28.343
80,27.531
81,27.726
82,27.174
83,27.334
84,27.400
85,27.378
86,26.735
87,26.716
88,26.475
89,24.140
90,24.072
91,25.400
92,24.280
93,23.216
94,24.192
95,23.595
96,23.153
97,20.368
98,19.235
99,18.377
100,19.237
101,20.356
102,20.327
103,19.523
104,16.046
105,18.712
106,18.423
107,18.641
108,17.500
109,18.048
110,17.290
111,17.197
112,17.282
113,16.979
114,15.792
115,16.530
116,17.460
117,16.763
118,16.922
119,17.203
120,16.966
121,16.488
122,15.891
123,16.451
124,16.954
125,16.399
126,17.329
127,16.322
128,16.188
129,14.979
130,15.564
131,16.277
132,15.715
133,14.860
134,15.027
135,15.052
136,14.887
137,15.590
138,14.660
139,15.297
140,14.322
141,14.812
142,15.464
143,14.859
144,13.228
145,14.919
146,15.708
147,13.993
148,15.996
149,15.857
150,16.040
151,17.042
152,15.177
153,13.487
154,15.267
155,15.158
156,14.123
157,14.871
158,14.919
159,16.533
160,14.344
161,16.331
162,16.315
163,14.804
164,14.637
165,16.202
166,15.513
167,16.135
168,16.654
169,16.321
170,14.965
171,15.988
172,15.910
173,15.789
174,16.730
175,16.180
176,14.078
177,14.159
178,15.535
179,15.778
180,15.282
181,16.587
182,14.396
183,14.583
184,15.891
185,16.998
186,18.188
187,17.715
188,15.937
189,16.215
190,14.938
191,15.956
192,13.934
193,15.559
194,15.818
195,14.800
196,15.890
197,15.534
198,15.603
199,15.564
200,16.935
201,15.976
202,15.447
203,17.155
204,16.705
205,16.238
206,15.706
207,17.231
208,17.107
209,16.621
210,18.832
211,18.715
212,17.650
213,15.863
214,19.026
215,17.516
216,16.523
217,16.345
218,16.184
219,15.457
220,16.599
221,17.279
222,18.442
223,18.872
224,19.056
225,19.245
226,30.567
227,0.000
228,0.000
229,0.000
230,0.000
231,0.000
232,0.000
233,0.000
234,0.000
235,0.000
236,0.000
237,0.000
238,0.000
239,0.000
240,0.000
241,0.000
242,0.000
243,0.000
244,0.000
245,0.000
246,0.000
247,0.000
248,0.000
249,0.000
250,0.000
251,0.000
252,0.000
253,0.000
