z,quality
0,15.201
1,15.201
2,15.201
3,15.201
4,15.201
5,15.201
6,15.201
7,15.201
8,15.201
9,15.201
10,15.201
11,14.291
12,16.527
13,16.592
14,15.478
15,17.087
16,16.992
17,16.196
18,15.844
19,15.700
20,15.651
21,15.919
22,16.392
23,16.102
24,14.806
25,14.984
26,16.882
27,14.672
28,15.589
29,17.026
30,18.512
31,18.553
32,17.908
33,19.639
34,19.076
35,21.033
36,21.711
37,21.507
38,21.803
39,23.602
40,25.339
41,23.969
42,27.236
43,29.377
44,31.117
45,30.937
46,29.954
47,31.118
48,35.064
49,36.055
50,36.220
51,37.207
52,38.842
53,36.820
54,34.814
55,35.709
56,36.112
57,37.155
58,35.519
59,36.319
60,36.694
61,35.717
62,33.819
63,34.611
64,33.973
65,35.961
66,36.622
67,35.997
68,37.500
69,38.738
70,39.255
71,36.824
72,35.989
73,36.597
74,35.758
75,34.529
76,32.639
77,33.214
78,32.858
79,34.286
80,34.632
81,33.123
82,30.697
83,29.699
84,29.214
85,31.510
86,29.941
87,29.842
88,30.921
89,30.436
90,31.407
91,31.003
92,31.654
93,29.564
94,29.992
95,29.568
96,30.340
97,29.093
98,30.447
99,28.310
100,28.154
101,29.853
102,29.316
103,28.753
104,28.559
105,27.207
106,28.415
107,30.007
108,28.140
109,29.152
110,27.214
111,27.307
112,27.152
113,26.366
114,26.022
115,28.500
116,30.468
117,27.664
118,28.026
119,28.472
120,26.547
121,29.894
122,28.079
123,26.799
124,27.567
125,26.109
126,27.024
127,28.289
128,27.018
129,26.150
130,26.889
131,25.234
132,26.314
133,23.788
134,23.786
135,25.682
136,24.628
137,24.245
138,24.839
139,23.918
140,24.926
141,23.507
142,22.721
143,23.330
144,23.523
145,24.149
146,22.844
147,23.223
148,24.448
149,22.395
150,22.384
151,23.035
152,23.925
153,23.362
154,23.010
155,23.444
156,22.859
157,24.131
158,23.504
159,22.126
160,22.457
161,22.701
162,23.795
163,24.381
164,24.996
165,25.290
166,24.972
167,24.751
168,24.146
169,24.335
170,23.527
171,23.782
172,23.225
173,23.617
174,24.061
175,24.708
176,24.924
177,25.728
178,21.346
179,22.077
180,22.568
181,23.283
182,24.870
183,22.159
184,23.933
185,23.737
186,23.990
187,25.473
188,24.177
189,25.782
190,24.518
191,23.648
192,23.488
193,24.118
194,26.011
195,26.308
196,24.551
197,25.666
198,26.652
199,26.766
200,24.396
201,24.741
202,24.098
203,25.396
204,25.463
205,25.420
206,26.130
207,24.528
208,25.441
209,27.170
210,26.233
211,25.434
212,25.963
213,24.767
214,25.610
215,25.253
216,25.058
217,25.626
218,25.036
219,25.690
220,24.857
221,24.566
222,26.890
223,29.289
224,28.262
225,28.502
226,25.847
227,0.000
228,0.000
229,0.000
230,0.000
231,0.000
232,0.000
233,0.000
234,0.000
235,0.000
236,0.000
237,0.000
238,0.000
239,0.000
240,0.000
241,0.000
242,0.000
243,0.000
244,0.000
245,0.000
246,0.000
247,0.000
248,0.000
249,0.000
250,0.000
251,0.000
252,0.000
253,0.000
254,0.000
255,0.000
256,0.000
257,0.000
