z,quality
0,16.571
1,16.571
2,16.571
3,16.571
4,16.571
5,16.571
6,16.571
7,16.571
8,16.571
9,16.571
10,16.571
11,16.270
12,17.976
13,18.170
14,16.698
15,17.787
16,17.999
17,18.152
18,16.984
19,17.437
20,15.557
21,17.454
22,18.378
23,15.857
24,16.253
25,17.061
26,16.628
27,15.595
28,17.225
29,16.663
30,18.211
31,19.427
32,18.411
33,19.535
34,22.031
35,23.977
36,25.380
37,24.507
38,26.501
39,29.167
40,29.544
41,31.562
42,36.501
43,37.032
44,39.873
45,41.467
46,41.734
47,43.255
48,47.069
49,49.896
50,46.827
51,48.954
52,53.954
53,50.627
54,49.681
55,49.474
56,50.256
57,51.935
58,52.513
59,52.305
60,53.100
61,50.918
62,49.537
63,47.631
64,48.987
65,51.630
66,51.770
67,51.026
68,52.320
69,54.534
70,54.019
71,50.048
72,50.644
73,51.481
74,50.282
75,50.125
76,48.326
77,48.442
78,49.439
79,50.233
80,50.254
81,47.800
82,46.809
83,44.641
84,45.328
85,44.257
86,44.421
87,45.535
88,45.768
89,43.996
90,45.931
91,44.755
92,44.640
93,43.562
94,43.022
95,44.564
96,43.343
97,44.008
98,42.080
99,41.892
100,41.750
101,42.871
102,41.042
103,40.921
104,41.330
105,40.913
106,41.742
107,40.961
108,40.264
109,40.615
110,40.699
111,40.501
112,39.206
113,39.344
114,39.493
115,39.250
116,38.365
117,38.884
118,37.757
119,37.707
120,37.252
121,38.287
122,37.421
123,35.644
124,36.361
125,34.744
126,36.147
127,35.737
128,35.882
129,34.703
130,35.512
131,33.584
132,34.959
133,33.450
134,34.419
135,35.768
136,34.007
137,33.372
138,34.896
139,34.941
140,33.537
141,32.404
142,32.952
143,32.651
144,32.711
145,31.808
146,30.501
147,30.343
148,30.613
149,30.287
150,30.723
151,31.155
152,30.552
153,30.500
154,30.032
155,31.544
156,31.802
157,31.257
158,31.434
159,31.216
160,30.029
161,31.078
162,32.157
163,31.154
164,31.506
165,32.917
166,33.349
167,32.980
168,33.296
169,32.258
170,31.505
171,32.325
172,30.080
173,30.167
174,31.069
175,31.795
176,31.031
177,31.952
178,28.952
179,28.922
180,29.639
181,30.007
182,30.891
183,29.077
184,29.193
185,29.903
186,29.719
187,29.293
188,29.367
189,28.483
190,29.337
191,28.190
192,28.864
193,27.929
194,28.353
195,28.636
196,28.308
197,28.206
198,30.124
199,28.710
200,27.879
201,28.506
202,28.189
203,28.975
204,29.093
205,28.476
206,28.558
207,28.392
208,28.561
209,28.330
210,27.974
211,27.833
212,28.657
213,27.608
214,28.942
215,27.170
216,26.500
217,26.007
218,27.421
219,25.845
220,24.183
221,25.671
222,27.168
223,29.000
224,28.471
225,27.599
226,26.783
227,0.000
228,0.000
229,0.000
230,0.000
231,0.000
232,0.000
233,0.000
234,0.000
235,0.000
236,0.000
237,0.000
238,0.000
239,0.000
240,0.000
241,0.000
242,0.000
243,0.000
244,0.000
245,0.000
246,0.000
247,0.000
248,0.000
249,0.000
250,0.000
251,0.000
252,0.000
253,0.000
254,0.000
255,0.000
256,0.000
257,0.000
