z,quality
0,22.376
1,22.376
2,22.376
3,22.376
4,22.376
5,22.376
6,22.376
7,22.376
8,22.376
9,22.376
10,22.376
11,22.468
12,22.453
13,23.158
14,23.306
15,23.680
16,24.243
17,24.519
18,25.302
19,23.801
20,24.517
21,25.992
22,26.811
23,28.755
24,30.561
25,32.254
26,33.427
27,35.688
28,39.434
29,40.181
30,40.903
31,42.898
32,43.385
33,47.092
34,53.594
35,53.204
36,52.348
37,51.723
38,51.350
39,50.693
40,52.637
41,53.860
42,49.609
43,48.616
44,50.117
45,52.960
46,53.176
47,54.613
48,58.650
49,61.177
50,55.736
51,51.618
52,44.520
53,50.085
54,50.501
55,50.523
56,53.141
57,53.038
58,54.720
59,52.846
60,47.610
61,45.439
62,49.570
63,49.909
64,49.435
65,50.304
66,48.010
67,47.346
68,50.215
69,50.150
70,44.973
71,46.893
72,46.359
73,46.234
74,47.818
75,45.696
76,43.034
77,43.724
78,43.157
79,45.092
80,45.875
81,44.196
82,42.245
83,39.570
84,38.801
85,36.148
86,37.215
87,36.743
88,35.599
89,34.710
90,36.361
91,33.888
92,33.512
93,32.148
94,31.364
95,29.813
96,31.824
97,31.338
98,30.738
99,31.566
100,30.541
101,29.267
102,30.395
103,30.523
104,29.254
105,29.695
106,29.414
107,28.484
108,27.769
109,26.824
110,27.238
111,27.342
112,25.984
113,26.410
114,24.611
115,25.317
116,26.440
117,24.798
118,24.320
119,24.501
120,23.699
121,23.546
122,22.104
123,21.328
124,22.559
125,23.409
126,23.293
127,23.537
128,23.497
129,23.021
130,21.837
131,23.583
132,23.749
133,23.482
134,23.625
135,24.404
136,24.251
137,23.986
138,24.631
139,24.612
140,24.183
141,25.074
142,24.830
143,25.007
144,24.215
145,24.324
146,24.673
147,25.860
148,26.007
149,26.788
150,26.984
151,25.919
152,25.617
153,26.994
154,26.120
155,27.126
156,26.959
157,27.630
158,29.891
159,28.636
160,29.470
161,29.699
162,29.783
163,30.698
164,31.224
165,31.808
166,30.268
167,33.195
168,34.029
169,32.377
170,32.612
171,32.688
172,33.859
173,35.304
174,34.894
175,35.838
176,37.231
177,37.750
178,36.742
179,37.373
180,37.278
181,37.591
182,38.294
183,38.810
184,39.555
185,39.927
186,38.641
187,39.651
188,40.995
189,41.655
190,40.851
191,40.376
192,40.860
193,42.538
194,43.561
195,43.369
196,43.096
197,43.561
198,45.302
199,46.025
200,45.942
201,45.661
202,47.453
203,47.836
204,48.330
205,48.734
206,50.080
207,50.422
208,51.953
209,51.520
210,51.750
211,51.698
212,50.985
213,53.687
214,55.589
215,54.751
216,55.606
217,54.886
218,55.643
219,56.885
220,58.377
221,60.815
222,61.647
223,67.022
224,64.749
225,66.151
226,68.412
227,71.133
228,71.124
229,71.271
230,66.708
231,66.929
232,66.740
233,67.433
234,68.156
235,67.351
236,65.690
237,65.331
238,60.187
239,55.525
240,49.331
241,46.733
242,46.078
243,44.181
244,40.507
245,35.881
246,31.843
247,27.442
248,22.263
249,23.061
250,20.525
251,20.998
252,18.932
253,18.991
254,19.090
255,19.347
256,18.124
257,18.163
258,18.207
259,19.389
260,18.261
261,18.527
262,17.876
263,17.572
264,17.991
265,17.907
266,19.648
267,19.648
268,19.648
269,19.648
270,19.648
271,19.648
272,19.648
273,19.648
274,19.648
275,19.648
276,19.648
