z,quality
0,22.376
1,22.376
2,22.376
3,22.376
4,22.376
5,22.376
6,22.376
7,22.376
8,22.376
9,22.376
10,22.376
11,22.468
12,22.453
13,23.158
14,23.306
15,23.680
16,24.243
17,24.484
18,25.301
19,23.860
20,24.669
21,26.168
22,27.049
23,28.945
24,30.630
25,32.284
26,33.667
27,35.546
28,39.385
29,39.929
30,41.022
31,42.920
32,43.379
33,47.151
34,53.700
35,53.267
36,52.661
37,52.296
38,51.347
39,51.155
40,52.906
41,53.757
42,49.502
43,48.030
44,50.179
45,52.622
46,53.957
47,57.039
48,60.995
49,63.622
50,58.381
51,52.089
52,43.719
53,49.337
54,50.404
55,51.354
56,53.876
57,55.440
58,57.513
59,55.262
60,50.581
61,50.284
62,53.926
63,53.085
64,54.186
65,53.546
66,52.161
67,52.660
68,55.868
69,52.676
70,47.424
71,49.052
72,51.774
73,51.146
74,51.224
75,47.940
76,45.628
77,45.565
78,46.174
79,48.337
80,49.777
81,48.258
82,44.629
83,41.662
84,41.308
85,37.633
86,39.020
87,39.548
88,37.588
89,37.565
90,37.739
91,37.323
92,37.119
93,34.129
94,32.861
95,30.579
96,33.421
97,33.065
98,33.831
99,33.776
100,33.121
101,31.818
102,31.381
103,30.986
104,30.906
105,31.553
106,31.251
107,30.218
108,28.678
109,28.105
110,29.263
111,28.449
112,26.495
113,29.050
114,27.443
115,25.649
116,25.774
117,24.771
118,24.147
119,23.889
120,22.950
121,23.406
122,23.275
123,20.702
124,21.248
125,22.411
126,20.512
127,20.739
128,21.478
129,21.606
130,21.362
131,20.029
132,18.759
133,18.380
134,20.996
135,21.209
136,20.578
137,20.544
138,21.783
139,22.006
140,20.353
141,19.550
142,20.482
143,20.085
144,19.016
145,19.982
146,19.609
147,19.755
148,18.912
149,18.779
150,19.623
151,19.164
152,17.495
153,18.561
154,18.592
155,17.263
156,17.938
157,18.472
158,19.016
159,16.894
160,18.446
161,18.980
162,17.514
163,16.502
164,17.980
165,18.439
166,16.780
167,18.578
168,18.294
169,18.023
170,18.959
171,18.236
172,15.951
173,17.654
174,17.911
175,17.334
176,17.699
177,17.649
178,18.469
179,16.361
180,18.227
181,17.330
182,16.751
183,17.144
184,18.799
185,19.015
186,18.482
187,17.646
188,18.585
189,18.236
190,18.741
191,17.891
192,18.360
193,19.587
194,18.279
195,16.947
196,17.164
197,17.913
198,17.232
199,17.323
200,18.390
201,17.220
202,16.839
203,18.801
204,19.415
205,20.296
206,20.324
207,18.378
208,18.583
209,18.147
210,17.689
211,17.595
212,18.487
213,18.236
214,19.312
215,18.478
216,17.637
217,16.677
218,18.855
219,19.411
220,19.054
221,18.656
222,19.537
223,19.376
224,19.476
225,18.822
226,20.263
227,19.162
228,19.890
229,21.555
230,21.203
231,20.068
232,18.806
233,22.996
234,20.739
235,20.528
236,19.300
237,20.144
238,18.714
239,17.607
240,19.624
241,20.525
242,20.754
243,19.702
244,21.109
245,22.903
246,0.000
247,0.000
248,0.000
249,0.000
250,0.000
251,0.000
252,0.000
253,0.000
254,0.000
255,0.000
256,0.000
257,0.000
258,0.000
259,0.000
260,0.000
261,0.000
262,0.000
263,0.000
264,0.000
265,0.000
266,0.000
267,0.000
268,0.000
269,0.000
270,0.000
271,0.000
272,0.000
273,0.000
274,0.000
275,0.000
276,0.000
