z,quality
0,45.709
1,45.709
2,45.709
3,45.709
4,45.709
5,45.709
6,45.709
7,45.709
8,45.709
9,45.709
10,45.709
11,47.202
12,47.014
13,45.937
14,45.351
15,46.942
16,45.397
17,44.771
18,45.027
19,48.222
20,50.234
21,48.058
22,46.500
23,44.355
24,47.696
25,44.313
26,44.523
27,41.707
28,43.141
29,41.607
30,40.680
31,38.497
32,39.566
33,37.115
34,39.741
35,35.435
36,37.101
37,38.215
38,38.482
39,35.066
40,36.095
41,35.834
42,34.180
43,33.644
44,35.332
45,36.293
46,33.345
47,33.959
48,31.646
49,30.711
50,31.339
51,30.141
52,32.006
53,31.992
54,33.418
55,28.578
56,26.284
57,25.425
58,24.386
59,24.546
60,24.478
61,23.554
62,23.004
63,19.409
64,18.851
65,16.619
66,17.734
67,18.035
68,15.651
69,12.972
70,13.460
71,12.913
72,12.368
73,13.008
74,14.135
75,9.933
76,12.759
77,10.556
78,9.807
79,11.483
80,10.832
81,11.229
82,9.842
83,9.330
84,10.214
85,8.647
86,5.653
87,4.722
88,7.639
89,7.064
90,7.856
91,8.597
92,8.061
93,7.562
94,8.829
95,7.694
96,6.246
97,4.704
98,4.991
99,2.760
100,4.216
101,3.212
102,2.805
103,2.307
104,4.830
105,5.004
106,3.391
107,4.517
108,4.095
109,3.455
110,2.477
111,5.112
112,3.887
113,2.035
114,0.262
115,2.551
116,1.718
117,2.246
118,3.108
119,1.517
120,1.735
121,2.079
122,1.640
123,1.689
124,2.024
125,0.760
126,1.886
127,2.028
128,3.106
129,1.441
130,1.441
131,1.441
132,1.441
133,1.441
134,1.441
135,1.441
136,1.441
137,1.441
138,1.441
139,1.441
