z,quality
0,22.287
1,22.287
2,22.287
3,22.287
4,22.287
5,22.287
6,22.287
7,22.287
8,22.287
9,22.287
10,22.287
11,21.778
12,22.896
13,22.763
14,23.402
15,23.144
16,23.024
17,22.656
18,24.611
19,22.924
20,23.795
21,24.917
22,25.405
23,24.821
24,25.030
25,24.704
26,24.536
27,24.987
28,26.096
29,25.019
30,25.442
31,26.917
32,26.688
33,27.915
34,26.435
35,28.337
36,28.620
37,27.850
38,27.797
39,29.143
40,29.784
41,28.583
42,30.965
43,31.024
44,30.890
45,32.013
46,33.155
47,34.631
48,32.929
49,34.115
50,34.282
51,33.900
52,36.005
53,36.738
54,38.697
55,37.015
56,38.717
57,39.246
58,39.843
59,39.178
60,38.709
61,40.288
62,40.657
63,38.997
64,40.875
65,41.484
66,40.924
67,40.968
68,42.254
69,43.630
70,44.640
71,42.205
72,41.636
73,42.495
74,42.540
75,43.651
76,43.343
77,42.342
78,43.117
79,42.856
80,41.329
81,41.798
82,43.103
83,44.812
84,44.224
85,43.788
86,42.271
87,44.017
88,44.269
89,43.857
90,45.156
91,43.638
92,44.535
93,44.829
94,44.094
95,43.546
96,42.091
97,43.440
98,43.628
99,42.190
100,42.828
101,42.267
102,41.583
103,41.795
104,41.502
105,41.752
106,41.910
107,40.415
108,40.085
109,40.137
110,41.075
111,40.921
112,38.999
113,38.612
114,38.881
115,38.482
116,39.607
117,39.962
118,39.052
119,38.715
120,37.913
121,37.881
122,38.267
123,38.509
124,37.678
125,38.089
126,37.008
127,37.116
128,36.877
129,36.300
130,36.764
131,36.784
132,36.325
133,36.046
134,35.393
135,35.592
136,34.665
137,35.133
138,36.420
139,37.241
140,36.180
141,34.065
142,35.969
143,37.002
144,35.369
145,35.163
146,34.193
147,33.919
148,33.942
149,36.296
150,33.878
151,35.299
152,33.662
153,34.969
154,35.576
155,34.250
156,34.988
157,34.398
158,34.024
159,33.737
160,33.477
161,34.760
162,33.789
163,34.279
164,33.274
165,33.133
166,35.234
167,35.288
168,34.530
169,34.610
170,34.097
171,34.324
172,36.131
173,36.185
174,35.825
175,35.692
176,37.586
177,37.614
178,37.632
179,37.413
180,36.728
181,37.502
182,36.530
183,37.019
184,36.928
185,35.761
186,36.181
187,36.727
188,37.596
189,37.581
190,37.919
191,37.514
192,37.281
193,36.718
194,36.744
195,37.424
196,38.042
197,36.142
198,37.966
199,37.825
200,36.807
201,38.432
202,39.353
203,39.567
204,38.302
205,37.959
206,39.059
207,39.454
208,39.672
209,38.504
210,39.940
211,40.116
212,38.281
213,38.695
214,37.856
215,37.715
216,38.437
217,40.411
218,39.218
219,38.859
220,39.146
221,39.870
222,39.745
223,39.293
224,37.816
225,39.956
226,41.269
227,40.647
228,40.150
229,40.193
230,40.252
231,40.358
232,39.276
233,40.141
234,39.536
235,40.210
236,39.549
237,39.478
238,40.424
239,39.017
240,38.747
241,40.137
242,39.441
243,38.659
244,39.150
245,38.253
246,37.215
247,36.818
248,37.737
249,37.357
250,37.742
251,37.848
252,37.303
253,37.946
254,38.489
255,38.751
256,37.980
257,38.276
258,38.966
259,38.324
260,38.972
261,39.416
262,38.381
263,37.336
264,38.342
265,39.532
266,37.756
267,38.547
268,37.403
269,36.948
270,37.843
271,38.071
272,36.883
273,37.247
274,37.782
275,37.295
276,36.985
277,35.936
278,35.241
279,35.768
280,35.750
281,35.112
282,35.026
283,34.218
284,34.366
285,33.438
286,33.265
287,32.933
288,34.313
289,34.601
290,34.054
291,31.546
292,31.752
293,31.797
294,31.794
295,32.059
296,33.428
297,30.906
298,30.981
299,31.405
300,32.165
301,32.783
302,31.470
303,31.160
304,29.784
305,29.249
306,29.576
307,31.706
308,31.442
309,31.003
310,30.325
311,30.097
312,31.537
313,31.087
314,30.864
315,31.065
316,31.139
317,31.220
318,31.702
319,31.308
320,31.282
321,32.646
322,32.954
323,31.292
324,32.927
325,34.669
326,32.282
327,32.558
328,32.031
329,31.395
330,30.886
331,30.010
332,30.060
333,29.067
334,30.206
335,29.197
336,29.496
337,29.593
338,29.982
339,30.404
340,30.213
341,29.667
342,30.548
343,29.553
344,29.394
345,30.277
346,31.195
347,31.282
348,32.146
349,31.992
350,32.907
351,32.220
352,33.696
353,32.805
354,31.733
355,33.244
356,35.246
357,33.382
358,33.839
359,34.251
360,33.290
361,33.183
362,33.492
363,34.708
364,35.201
365,35.793
366,35.922
367,37.407
368,36.213
369,35.488
370,35.280
371,35.990
372,35.562
373,35.592
374,36.651
375,36.771
376,37.919
377,38.623
378,37.350
379,36.643
380,37.659
381,37.585
382,37.081
383,37.573
384,37.251
385,38.917
