z,quality
0,52.443
1,52.443
2,52.443
3,52.443
4,52.443
5,52.443
6,52.443
7,52.443
8,52.443
9,52.443
10,52.443
11,52.190
12,51.771
13,50.269
14,49.246
15,52.325
16,53.220
17,51.135
18,49.771
19,47.895
20,48.919
21,47.163
22,45.900
23,45.401
24,48.720
25,45.156
26,43.609
27,45.124
28,42.271
29,42.013
30,42.090
31,38.883
32,34.182
33,35.969
34,35.347
35,36.113
36,36.471
37,36.637
38,34.738
39,30.177
40,30.499
41,30.332
42,29.492
43,30.424
44,30.720
45,29.471
46,28.258
47,26.163
48,22.404
49,20.923
50,19.202
51,22.503
52,22.562
53,20.675
54,20.942
55,18.350
56,21.946
57,20.160
58,17.266
59,16.431
60,16.522
61,18.821
62,16.485
63,15.018
64,16.163
65,15.592
66,14.332
67,12.020
68,12.744
69,12.495
70,9.207
71,8.869
72,8.395
73,6.788
74,8.338
75,11.107
76,11.709
77,9.728
78,8.945
79,5.448
80,6.244
81,6.080
82,2.462
83,5.211
84,6.183
85,3.862
86,4.553
87,5.753
88,4.753
89,3.744
90,3.391
91,2.775
92,0.474
93,3.555
94,1.986
95,4.043
96,1.614
97,0.954
98,1.662
99,1.402
100,1.160
101,0.318
102,2.808
103,2.693
104,2.161
105,1.771
106,0.878
107,0.710
108,0.026
109,-2.058
110,-1.123
111,-0.273
112,1.560
113,0.515
114,-0.770
115,1.047
116,0.670
117,0.848
118,0.519
119,0.055
120,1.177
121,1.006
122,2.166
123,0.128
124,-0.471
125,-1.184
126,-0.272
127,-2.434
128,-0.526
129,-2.286
130,-2.286
131,-2.286
132,-2.286
133,-2.286
134,-2.286
135,-2.286
136,-2.286
137,-2.286
138,-2.286
139,-2.286
