z,quality
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,35.320
34,34.435
35,32.906
36,30.564
37,30.131
38,28.618
39,28.318
40,28.317
41,26.869
42,27.220
43,26.809
44,25.899
45,25.534
46,25.085
47,23.450
48,24.072
49,24.914
50,24.524
51,25.393
52,26.388
53,24.754
54,24.819
55,25.040
56,24.787
57,22.949
58,25.208
59,26.730
60,25.085
61,24.076
62,23.701
63,25.028
64,24.046
65,24.054
66,23.588
67,23.457
68,24.772
69,23.742
70,23.134
71,23.312
72,23.243
73,21.962
74,21.893
75,21.813
76,21.133
77,23.301
78,21.636
79,22.133
80,22.269
81,23.458
82,23.632
83,23.447
84,22.761
85,22.390
86,23.586
87,23.038
88,22.580
89,22.416
90,23.893
91,25.128
92,24.119
93,24.299
94,24.663
95,24.586
96,25.744
97,25.761
98,23.566
99,24.015
100,23.418
101,24.252
102,23.865
103,25.035
104,24.927
105,23.833
106,25.076
107,23.892
108,24.778
109,23.898
110,24.515
111,24.262
112,25.534
113,24.049
114,23.549
115,23.459
116,23.413
117,23.211
118,24.542
119,24.386
120,23.348
121,24.781
122,23.025
123,22.448
124,23.763
125,23.744
126,23.063
127,22.986
128,24.473
129,22.631
130,22.143
131,23.161
132,24.121
133,22.993
134,23.556
135,22.992
136,23.843
137,24.331
138,24.311
139,24.534
140,24.797
141,23.860
142,25.551
143,24.864
144,24.606
145,27.050
146,26.447
147,25.818
148,26.225
149,25.519
150,25.595
151,26.583
152,25.467
153,26.889
154,26.692
155,28.676
156,28.855
157,29.547
158,28.414
159,29.649
160,32.355
161,31.719
162,31.065
163,31.595
164,31.188
165,32.120
166,33.302
167,35.199
168,35.431
169,35.476
170,35.797
171,36.737
172,35.675
173,37.112
174,37.510
175,36.487
176,38.871
177,39.440
178,37.934
179,38.309
180,40.754
181,39.709
182,40.047
183,42.099
184,42.908
185,44.137
186,43.213
187,43.960
188,47.306
189,47.272
190,48.124
191,49.211
192,46.617
193,45.483
194,46.270
195,45.708
196,48.271
197,49.164
198,49.805
199,49.419
200,49.884
201,49.364
202,49.161
203,47.880
204,49.538
205,50.064
206,51.025
207,50.778
208,50.630
209,52.367
210,51.753
211,52.079
212,52.616
213,52.139
214,53.647
215,54.531
216,55.248
217,56.141
218,55.986
219,57.780
220,55.600
221,57.300
222,59.125
223,60.226
224,61.288
225,59.350
226,58.206
227,58.456
228,59.953
229,60.590
230,61.372
231,62.288
232,63.146
233,64.233
234,65.319
235,64.748
236,66.851
237,66.718
238,64.944
239,63.715
240,64.286
241,64.851
242,61.513
243,59.756
244,62.193
245,61.829
246,65.110
247,59.180
248,52.890
249,53.391
250,50.590
251,46.663
252,45.023
253,41.545
254,37.242
255,33.334
256,28.340
257,23.812
258,23.987
259,23.987
260,23.987
261,23.987
262,23.987
263,23.987
264,23.987
265,23.987
266,23.987
267,23.987
268,23.987
