z,quality
0,0.000
1,0.000
2,0.000
3,0.000
4,0.000
5,0.000
6,0.000
7,0.000
8,0.000
9,0.000
10,0.000
11,0.000
12,0.000
13,0.000
14,0.000
15,0.000
16,0.000
17,0.000
18,23.662
19,19.544
20,21.292
21,37.971
22,36.649
23,34.978
24,34.394
25,37.022
26,37.912
27,38.719
28,42.215
29,44.265
30,43.785
31,47.968
32,47.399
33,49.078
34,49.765
35,52.515
36,51.790
37,50.221
38,51.521
39,53.251
40,51.690
41,51.224
42,49.342
43,48.989
44,48.765
45,49.155
46,51.582
47,51.117
48,51.887
49,51.508
50,50.415
51,48.350
52,47.269
53,45.948
54,47.012
55,46.825
56,47.045
57,44.977
58,44.794
59,44.328
60,43.361
61,44.874
62,42.852
63,41.605
64,40.855
65,39.149
66,37.793
67,38.148
68,38.818
69,37.927
70,36.920
71,37.223
72,36.958
73,37.813
74,37.158
75,36.779
76,36.177
77,35.988
78,33.869
79,34.477
80,33.774
81,33.451
82,32.744
83,31.591
84,30.723
85,31.679
86,32.183
87,30.422
88,29.932
89,28.148
90,27.468
91,27.297
92,27.316
93,25.457
94,26.772
95,26.405
96,25.513
97,25.903
98,24.644
99,25.686
100,26.229
101,25.627
102,24.248
103,24.581
104,23.698
105,24.473
106,22.338
107,23.905
108,21.419
109,23.915
110,23.523
111,21.096
112,21.940
113,22.723
114,21.759
115,22.874
116,22.134
117,21.479
118,21.990
119,22.048
120,22.071
121,21.054
122,21.548
123,21.952
124,21.069
125,21.716
126,20.840
127,21.043
128,20.930
129,20.421
130,22.034
131,20.751
132,21.673
133,19.137
134,19.627
135,21.025
136,22.464
137,22.565
138,23.240
139,20.941
140,22.000
141,21.739
142,23.233
143,23.522
144,23.965
145,23.729
146,23.684
147,23.040
148,25.116
149,26.658
150,25.958
151,26.899
152,27.951
153,26.777
154,27.455
155,29.376
156,30.153
157,31.516
158,32.782
159,32.899
160,32.404
161,34.497
162,33.526
163,34.421
164,33.070
165,33.701
166,34.142
167,35.967
168,37.694
169,40.313
170,39.900
171,41.112
172,38.884
173,39.921
174,40.765
175,40.466
176,40.978
177,42.375
178,42.668
179,45.346
180,45.634
181,46.860
182,46.292
183,47.188
184,49.000
185,49.322
186,49.101
187,49.946
188,49.274
189,52.144
190,53.652
191,52.746
192,51.007
193,51.400
194,51.703
195,51.802
196,51.511
197,51.135
198,52.785
199,50.733
200,51.922
201,50.709
202,53.413
203,55.124
204,54.253
205,54.294
206,55.297
207,54.844
208,54.664
209,55.765
210,56.446
211,55.265
212,51.472
213,46.985
214,49.529
215,51.913
216,28.068
217,27.348
218,0.000
219,0.000
220,0.000
221,0.000
222,0.000
223,0.000
224,0.000
225,0.000
226,0.000
227,0.000
228,0.000
229,0.000
230,0.000
231,0.000
232,0.000
233,0.000
234,0.000
235,0.000
