 ,Label,Mean,Min,Max
1,ClearT2_org1.tif:1,0.000,0,0
2,ClearT2_org1.tif:2,0.000,0,0
3,ClearT2_org1.tif:3,61.270,0,524
4,ClearT2_org1.tif:4,302.550,215,499
5,ClearT2_org1.tif:5,303.639,215,533
6,ClearT2_org1.tif:6,300.384,218,509
7,ClearT2_org1.tif:7,298.395,219,513
8,ClearT2_org1.tif:8,297.711,215,510
9,ClearT2_org1.tif:9,297.670,218,497
10,ClearT2_org1.tif:10,297.904,221,531
11,ClearT2_org1.tif:11,298.564,229,530
12,ClearT2_org1.tif:12,299.477,218,544
13,ClearT2_org1.tif:13,300.385,218,561
14,ClearT2_org1.tif:14,301.553,216,594
15,ClearT2_org1.tif:15,303.071,222,654
16,ClearT2_org1.tif:16,304.779,226,766
17,ClearT2_org1.tif:17,307.063,227,1088
18,ClearT2_org1.tif:18,310.254,223,2121
19,ClearT2_org1.tif:19,315.036,227,4903
20,ClearT2_org1.tif:20,321.956,221,9671
21,ClearT2_org1.tif:21,330.984,230,15073
22,ClearT2_org1.tif:22,341.646,236,18940
23,ClearT2_org1.tif:23,353.890,239,20269
24,ClearT2_org1.tif:24,366.986,244,18244
25,ClearT2_org1.tif:25,381.640,243,13237
26,ClearT2_org1.tif:26,398.533,242,8197
27,ClearT2_org1.tif:27,418.595,248,6977
28,ClearT2_org1.tif:28,441.260,256,9763
29,ClearT2_org1.tif:29,465.939,257,16353
30,ClearT2_org1.tif:30,490.884,265,20957
31,ClearT2_org1.tif:31,515.357,263,21866
32,ClearT2_org1.tif:32,539.391,266,18624
33,ClearT2_org1.tif:33,562.850,269,12605
34,ClearT2_org1.tif:34,586.320,273,7028
35,ClearT2_org1.tif:35,609.002,276,7417
36,ClearT2_org1.tif:36,630.727,279,8117
37,ClearT2_org1.tif:37,651.567,280,9188
38,ClearT2_org1.tif:38,672.530,277,10580
39,ClearT2_org1.tif:39,694.951,288,13314
40,ClearT2_org1.tif:40,718.573,282,16492
41,ClearT2_org1.tif:41,741.476,288,21643
42,ClearT2_org1.tif:42,761.348,289,24141
43,ClearT2_org1.tif:43,777.091,298,22786
44,ClearT2_org1.tif:44,787.801,298,18183
45,ClearT2_org1.tif:45,794.791,293,11123
46,ClearT2_org1.tif:46,801.114,305,8441
47,ClearT2_org1.tif:47,809.700,306,7565
48,ClearT2_org1.tif:48,822.241,302,8375
49,ClearT2_org1.tif:49,838.193,304,9785
50,ClearT2_org1.tif:50,858.393,322,10480
51,ClearT2_org1.tif:51,882.549,323,10327
52,ClearT2_org1.tif:52,910.687,326,8931
53,ClearT2_org1.tif:53,942.198,328,7379
54,ClearT2_org1.tif:54,976.610,355,6731
55,ClearT2_org1.tif:55,1011.999,347,6021
56,ClearT2_org1.tif:56,1048.721,367,5862
57,ClearT2_org1.tif:57,1087.252,375,5977
58,ClearT2_org1.tif:58,1126.694,384,5578
59,ClearT2_org1.tif:59,1166.808,383,6043
60,ClearT2_org1.tif:60,1208.071,397,7132
61,ClearT2_org1.tif:61,1251.530,410,8387
62,ClearT2_org1.tif:62,1296.654,426,8422
63,ClearT2_org1.tif:63,1342.798,434,7143
64,ClearT2_org1.tif:64,1388.532,435,5598
65,ClearT2_org1.tif:65,1435.890,451,5977
66,ClearT2_org1.tif:66,1484.166,453,6301
67,ClearT2_org1.tif:67,1534.334,467,5498
68,ClearT2_org1.tif:68,1585.674,483,7500
69,ClearT2_org1.tif:69,1636.484,494,8201
70,ClearT2_org1.tif:70,1684.532,495,7026
71,ClearT2_org1.tif:71,1732.352,503,4659
72,ClearT2_org1.tif:72,1779.881,526,4852
73,ClearT2_org1.tif:73,1830.120,543,5010
74,ClearT2_org1.tif:74,1883.209,547,5822
75,ClearT2_org1.tif:75,1940.686,569,5971
76,ClearT2_org1.tif:76,2002.064,581,6291
77,ClearT2_org1.tif:77,2066.223,598,5930
78,ClearT2_org1.tif:78,2130.235,615,4924
79,ClearT2_org1.tif:79,2192.678,627,4918
80,ClearT2_org1.tif:80,2253.779,640,5112
81,ClearT2_org1.tif:81,2312.890,658,5384
82,ClearT2_org1.tif:82,2372.420,683,5368
83,ClearT2_org1.tif:83,2434.911,691,5273
84,ClearT2_org1.tif:84,2496.052,695,5066
85,ClearT2_org1.tif:85,2555.398,731,5338
86,ClearT2_org1.tif:86,2610.927,748,5577
87,ClearT2_org1.tif:87,2662.128,757,5142
88,ClearT2_org1.tif:88,2710.947,771,4808
89,ClearT2_org1.tif:89,2757.588,795,5371
90,ClearT2_org1.tif:90,2805.420,810,5838
91,ClearT2_org1.tif:91,2856.631,824,6121
92,ClearT2_org1.tif:92,2908.404,861,5805
93,ClearT2_org1.tif:93,2957.301,883,5085
94,ClearT2_org1.tif:94,3004.779,908,4711
95,ClearT2_org1.tif:95,3049.711,930,5036
96,ClearT2_org1.tif:96,3092.768,946,4979
97,ClearT2_org1.tif:97,3133.158,982,4629
98,ClearT2_org1.tif:98,3168.234,1011,5302
99,ClearT2_org1.tif:99,3197.638,1030,6897
100,ClearT2_org1.tif:100,3225.917,1047,7485
101,ClearT2_org1.tif:101,3252.228,1070,6781
102,ClearT2_org1.tif:102,3276.388,1121,5826
103,ClearT2_org1.tif:103,3299.324,1134,5868
104,ClearT2_org1.tif:104,3320.153,1174,5874
105,ClearT2_org1.tif:105,3338.589,1222,5645
106,ClearT2_org1.tif:106,3356.333,1253,4775
107,ClearT2_org1.tif:107,3373.948,1323,5964
108,ClearT2_org1.tif:108,3390.939,1394,7211
109,ClearT2_org1.tif:109,3408.705,1497,7981
110,ClearT2_org1.tif:110,3423.769,1575,7795
111,ClearT2_org1.tif:111,3437.468,1671,6585
112,ClearT2_org1.tif:112,3450.152,1773,5090
113,ClearT2_org1.tif:113,3460.512,1842,4523
114,ClearT2_org1.tif:114,3468.012,1916,4557
115,ClearT2_org1.tif:115,3473.785,1956,4604
116,ClearT2_org1.tif:116,3478.767,2017,4636
117,ClearT2_org1.tif:117,3485.992,2061,4653
118,ClearT2_org1.tif:118,3493.645,2071,4588
119,ClearT2_org1.tif:119,3500.291,2155,4637
120,ClearT2_org1.tif:120,3507.572,2232,4552
121,ClearT2_org1.tif:121,3513.003,2276,4566
122,ClearT2_org1.tif:122,3518.739,2276,4528
123,ClearT2_org1.tif:123,3522.485,2250,4503
