 ,Label,Mean,Min,Max
1,ClearT2_org2_angle0.tif:1,0.000,0,0
2,ClearT2_org2_angle0.tif:2,0.000,0,0
3,ClearT2_org2_angle0.tif:3,0.000,0,0
4,ClearT2_org2_angle0.tif:4,0.000,0,0
5,ClearT2_org2_angle0.tif:5,0.000,0,0
6,ClearT2_org2_angle0.tif:6,0.000,0,0
7,ClearT2_org2_angle0.tif:7,0.000,0,0
8,ClearT2_org2_angle0.tif:8,0.000,0,0
9,ClearT2_org2_angle0.tif:9,0.000,0,0
10,ClearT2_org2_angle0.tif:10,0.000,0,0
11,ClearT2_org2_angle0.tif:11,0.000,0,0
12,ClearT2_org2_angle0.tif:12,0.000,0,0
13,ClearT2_org2_angle0.tif:13,0.000,0,0
14,ClearT2_org2_angle0.tif:14,0.000,0,0
15,ClearT2_org2_angle0.tif:15,0.000,0,0
16,ClearT2_org2_angle0.tif:16,0.000,0,0
17,ClearT2_org2_angle0.tif:17,0.000,0,0
18,ClearT2_org2_angle0.tif:18,0.000,0,0
19,ClearT2_org2_angle0.tif:19,0.000,0,0
20,ClearT2_org2_angle0.tif:20,0.000,0,0
21,ClearT2_org2_angle0.tif:21,0.000,0,0
22,ClearT2_org2_angle0.tif:22,0.000,0,0
23,ClearT2_org2_angle0.tif:23,856.278,295,2903
24,ClearT2_org2_angle0.tif:24,888.931,322,3036
25,ClearT2_org2_angle0.tif:25,924.410,323,3124
26,ClearT2_org2_angle0.tif:26,963.441,329,3259
27,ClearT2_org2_angle0.tif:27,1005.864,341,3353
28,ClearT2_org2_angle0.tif:28,1053.466,348,3430
29,ClearT2_org2_angle0.tif:29,1109.632,359,3587
30,ClearT2_org2_angle0.tif:30,1175.873,362,3609
31,ClearT2_org2_angle0.tif:31,1249.960,373,3776
32,ClearT2_org2_angle0.tif:32,1327.197,369,3846
33,ClearT2_org2_angle0.tif:33,1403.776,388,3996
34,ClearT2_org2_angle0.tif:34,1473.979,403,4086
35,ClearT2_org2_angle0.tif:35,1535.851,404,4102
36,ClearT2_org2_angle0.tif:36,1589.784,417,4186
37,ClearT2_org2_angle0.tif:37,1640.803,400,4263
38,ClearT2_org2_angle0.tif:38,1692.889,421,4297
39,ClearT2_org2_angle0.tif:39,1748.188,437,4359
40,ClearT2_org2_angle0.tif:40,1803.696,444,4460
41,ClearT2_org2_angle0.tif:41,1857.985,456,4534
42,ClearT2_org2_angle0.tif:42,1911.392,479,4550
43,ClearT2_org2_angle0.tif:43,1965.608,484,4605
44,ClearT2_org2_angle0.tif:44,2022.277,473,4637
45,ClearT2_org2_angle0.tif:45,2079.301,494,4694
46,ClearT2_org2_angle0.tif:46,2136.051,515,4708
47,ClearT2_org2_angle0.tif:47,2193.415,527,4647
48,ClearT2_org2_angle0.tif:48,2247.433,534,4654
49,ClearT2_org2_angle0.tif:49,2292.211,548,4672
50,ClearT2_org2_angle0.tif:50,2326.052,554,4687
51,ClearT2_org2_angle0.tif:51,2350.331,561,4634
52,ClearT2_org2_angle0.tif:52,2366.878,553,4644
53,ClearT2_org2_angle0.tif:53,2380.020,581,4572
54,ClearT2_org2_angle0.tif:54,2396.501,582,4567
55,ClearT2_org2_angle0.tif:55,2420.932,589,4534
56,ClearT2_org2_angle0.tif:56,2453.485,591,4522
57,ClearT2_org2_angle0.tif:57,2490.960,608,4542
58,ClearT2_org2_angle0.tif:58,2531.119,633,4568
59,ClearT2_org2_angle0.tif:59,2568.503,620,4613
60,ClearT2_org2_angle0.tif:60,2602.514,642,4660
61,ClearT2_org2_angle0.tif:61,2633.333,657,4679
62,ClearT2_org2_angle0.tif:62,2659.752,663,4708
63,ClearT2_org2_angle0.tif:63,2682.512,680,4688
64,ClearT2_org2_angle0.tif:64,2706.941,686,4714
65,ClearT2_org2_angle0.tif:65,2735.635,695,4702
66,ClearT2_org2_angle0.tif:66,2767.581,704,4664
67,ClearT2_org2_angle0.tif:67,2801.957,719,4606
68,ClearT2_org2_angle0.tif:68,2836.618,730,4606
69,ClearT2_org2_angle0.tif:69,2871.852,762,4578
70,ClearT2_org2_angle0.tif:70,2910.765,786,4599
71,ClearT2_org2_angle0.tif:71,2950.168,817,4598
72,ClearT2_org2_angle0.tif:72,2987.199,833,4566
73,ClearT2_org2_angle0.tif:73,3021.517,834,4530
74,ClearT2_org2_angle0.tif:74,3055.184,867,4550
75,ClearT2_org2_angle0.tif:75,3090.318,895,4588
76,ClearT2_org2_angle0.tif:76,3125.853,902,4657
77,ClearT2_org2_angle0.tif:77,3160.732,936,4649
78,ClearT2_org2_angle0.tif:78,3197.507,959,4664
79,ClearT2_org2_angle0.tif:79,3234.946,1011,4617
80,ClearT2_org2_angle0.tif:80,3268.436,1016,4672
81,ClearT2_org2_angle0.tif:81,3304.121,1038,4689
82,ClearT2_org2_angle0.tif:82,3338.742,1107,4962
83,ClearT2_org2_angle0.tif:83,3365.688,1136,4939
84,ClearT2_org2_angle0.tif:84,3389.026,1213,4796
85,ClearT2_org2_angle0.tif:85,3407.863,1265,4809
86,ClearT2_org2_angle0.tif:86,3422.545,1294,4875
87,ClearT2_org2_angle0.tif:87,3436.185,1374,4891
88,ClearT2_org2_angle0.tif:88,3447.296,1428,4946
89,ClearT2_org2_angle0.tif:89,3456.055,1421,4969
90,ClearT2_org2_angle0.tif:90,3462.698,1495,4985
91,ClearT2_org2_angle0.tif:91,3465.585,1609,5075
92,ClearT2_org2_angle0.tif:92,3469.832,1671,5087
93,ClearT2_org2_angle0.tif:93,3478.926,1695,5103
94,ClearT2_org2_angle0.tif:94,3491.925,1827,5208
95,ClearT2_org2_angle0.tif:95,3509.603,1909,5159
96,ClearT2_org2_angle0.tif:96,3531.141,2069,5190
97,ClearT2_org2_angle0.tif:97,3553.179,2102,5170
98,ClearT2_org2_angle0.tif:98,3574.099,2276,5213
99,ClearT2_org2_angle0.tif:99,3592.790,2312,5243
100,ClearT2_org2_angle0.tif:100,3609.477,2304,5251
101,ClearT2_org2_angle0.tif:101,3624.834,2309,5293
102,ClearT2_org2_angle0.tif:102,3643.811,2301,5323
103,ClearT2_org2_angle0.tif:103,3666.004,2257,5309
104,ClearT2_org2_angle0.tif:104,3690.294,2271,5334
105,ClearT2_org2_angle0.tif:105,3718.759,2273,5351
106,ClearT2_org2_angle0.tif:106,3748.159,2286,5252
107,ClearT2_org2_angle0.tif:107,3780.191,2334,5329
108,ClearT2_org2_angle0.tif:108,3810.781,2331,5347
109,ClearT2_org2_angle0.tif:109,3837.142,2354,5330
110,ClearT2_org2_angle0.tif:110,3858.825,2334,5325
111,ClearT2_org2_angle0.tif:111,3872.819,2390,5321
112,ClearT2_org2_angle0.tif:112,3882.279,2404,5310
113,ClearT2_org2_angle0.tif:113,3889.966,2422,5295
114,ClearT2_org2_angle0.tif:114,3894.611,2462,5263
115,ClearT2_org2_angle0.tif:115,3896.057,2494,5299
116,ClearT2_org2_angle0.tif:116,3901.433,2509,5308
117,ClearT2_org2_angle0.tif:117,3908.445,2517,5284
118,ClearT2_org2_angle0.tif:118,3918.565,2600,5320
119,ClearT2_org2_angle0.tif:119,3930.043,2643,5321
120,ClearT2_org2_angle0.tif:120,3942.692,2625,5387
121,ClearT2_org2_angle0.tif:121,3957.354,2673,5369
122,ClearT2_org2_angle0.tif:122,3976.105,2704,5307
123,ClearT2_org2_angle0.tif:123,3997.974,2753,5372
124,ClearT2_org2_angle0.tif:124,4023.919,2739,5408
125,ClearT2_org2_angle0.tif:125,4055.650,2796,5434
126,ClearT2_org2_angle0.tif:126,4090.026,2762,5435
127,ClearT2_org2_angle0.tif:127,4124.633,2754,5467
128,ClearT2_org2_angle0.tif:128,4160.266,2776,5502
129,ClearT2_org2_angle0.tif:129,4193.531,2776,5562
130,ClearT2_org2_angle0.tif:130,4224.833,2711,5520
131,ClearT2_org2_angle0.tif:131,4252.913,2752,5565
132,ClearT2_org2_angle0.tif:132,4276.187,2754,5676
133,ClearT2_org2_angle0.tif:133,4295.896,2785,5652
134,ClearT2_org2_angle0.tif:134,4314.647,2842,5532
135,ClearT2_org2_angle0.tif:135,4332.626,2879,5524
136,ClearT2_org2_angle0.tif:136,4348.871,2961,5561
137,ClearT2_org2_angle0.tif:137,4362.609,2961,5511
138,ClearT2_org2_angle0.tif:138,4370.620,2969,5485
139,ClearT2_org2_angle0.tif:139,4376.954,2872,5481
140,ClearT2_org2_angle0.tif:140,4378.370,2831,5486
141,ClearT2_org2_angle0.tif:141,4375.317,2905,5434
142,ClearT2_org2_angle0.tif:142,4374.131,2848,5407
143,ClearT2_org2_angle0.tif:143,4371.296,2782,5425
144,ClearT2_org2_angle0.tif:144,4368.052,2719,5441
145,ClearT2_org2_angle0.tif:145,4363.731,2644,5535
146,ClearT2_org2_angle0.tif:146,4356.245,2605,5595
147,ClearT2_org2_angle0.tif:147,4348.368,2534,5590
148,ClearT2_org2_angle0.tif:148,4343.672,2463,5647
149,ClearT2_org2_angle0.tif:149,4338.590,2398,5608
150,ClearT2_org2_angle0.tif:150,4332.579,2401,5651
151,ClearT2_org2_angle0.tif:151,4328.816,2282,5649
152,ClearT2_org2_angle0.tif:152,4326.339,2309,5681
153,ClearT2_org2_angle0.tif:153,4322.110,2321,5689
154,ClearT2_org2_angle0.tif:154,4321.438,2294,5692
155,ClearT2_org2_angle0.tif:155,4326.711,2300,5725
156,ClearT2_org2_angle0.tif:156,4338.039,2299,5703
157,ClearT2_org2_angle0.tif:157,4355.824,2382,5720
158,ClearT2_org2_angle0.tif:158,4375.868,2413,6012
159,ClearT2_org2_angle0.tif:159,4400.361,2457,6372
160,ClearT2_org2_angle0.tif:160,4428.460,2485,6359
161,ClearT2_org2_angle0.tif:161,4458.920,2530,6153
162,ClearT2_org2_angle0.tif:162,4489.899,2583,5926
163,ClearT2_org2_angle0.tif:163,4517.646,2637,5930
164,ClearT2_org2_angle0.tif:164,4539.519,2738,5968
165,ClearT2_org2_angle0.tif:165,4553.491,2840,6015
166,ClearT2_org2_angle0.tif:166,4562.179,2805,6068
167,ClearT2_org2_angle0.tif:167,4567.219,2735,5997
168,ClearT2_org2_angle0.tif:168,4568.676,2715,6052
169,ClearT2_org2_angle0.tif:169,4563.555,2726,6201
170,ClearT2_org2_angle0.tif:170,4555.001,2728,6387
171,ClearT2_org2_angle0.tif:171,4547.917,2773,6431
172,ClearT2_org2_angle0.tif:172,4538.206,2783,6277
173,ClearT2_org2_angle0.tif:173,4526.216,2766,6272
174,ClearT2_org2_angle0.tif:174,4519.460,2649,6692
175,ClearT2_org2_angle0.tif:175,4514.561,2600,7053
176,ClearT2_org2_angle0.tif:176,4510.656,2578,7042
177,ClearT2_org2_angle0.tif:177,4505.019,2552,6660
178,ClearT2_org2_angle0.tif:178,4492.218,2545,6145
179,ClearT2_org2_angle0.tif:179,4477.780,2525,6250
180,ClearT2_org2_angle0.tif:180,4464.241,2529,6196
181,ClearT2_org2_angle0.tif:181,4450.211,2523,6080
