 ,Label,Mean,Min,Max
1,Control_orgconf3.tif:1,0.000,0,0
2,Control_orgconf3.tif:2,332.495,228,529
3,Control_orgconf3.tif:3,334.524,224,684
4,Control_orgconf3.tif:4,336.833,227,778
5,Control_orgconf3.tif:5,340.622,229,1053
6,Control_orgconf3.tif:6,346.360,222,1863
7,Control_orgconf3.tif:7,354.510,229,2732
8,Control_orgconf3.tif:8,362.756,234,3244
9,Control_orgconf3.tif:9,370.257,235,2659
10,Control_orgconf3.tif:10,378.719,228,1644
11,Control_orgconf3.tif:11,387.866,235,2320
12,Control_orgconf3.tif:12,396.281,234,2817
13,Control_orgconf3.tif:13,404.812,232,2648
14,Control_orgconf3.tif:14,414.829,235,5440
15,Control_orgconf3.tif:15,426.934,226,6828
16,Control_orgconf3.tif:16,439.730,236,4824
17,Control_orgconf3.tif:17,451.579,234,4690
18,Control_orgconf3.tif:18,463.100,240,4557
19,Control_orgconf3.tif:19,471.704,234,3991
20,Control_orgconf3.tif:20,483.849,243,4485
21,Control_orgconf3.tif:21,493.973,244,5553
22,Control_orgconf3.tif:22,501.267,247,6546
23,Control_orgconf3.tif:23,501.788,247,5980
24,Control_orgconf3.tif:24,503.501,251,4205
25,Control_orgconf3.tif:25,502.801,247,3754
26,Control_orgconf3.tif:26,501.677,253,3951
27,Control_orgconf3.tif:27,499.544,243,2978
28,Control_orgconf3.tif:28,499.127,249,4425
29,Control_orgconf3.tif:29,499.826,253,5720
30,Control_orgconf3.tif:30,500.169,258,6907
31,Control_orgconf3.tif:31,498.666,254,5392
32,Control_orgconf3.tif:32,497.232,257,3262
33,Control_orgconf3.tif:33,496.431,257,3767
34,Control_orgconf3.tif:34,492.810,255,4607
35,Control_orgconf3.tif:35,490.780,259,3310
36,Control_orgconf3.tif:36,489.848,262,3327
37,Control_orgconf3.tif:37,485.802,261,5135
38,Control_orgconf3.tif:38,483.417,262,4609
39,Control_orgconf3.tif:39,481.227,255,4574
40,Control_orgconf3.tif:40,478.411,266,5466
41,Control_orgconf3.tif:41,472.583,261,4296
42,Control_orgconf3.tif:42,468.433,258,5668
43,Control_orgconf3.tif:43,467.566,258,6055
44,Control_orgconf3.tif:44,463.327,248,3541
45,Control_orgconf3.tif:45,460.830,257,4238
46,Control_orgconf3.tif:46,454.267,253,3306
47,Control_orgconf3.tif:47,450.849,253,4171
48,Control_orgconf3.tif:48,445.082,242,4293
49,Control_orgconf3.tif:49,441.477,240,3370
50,Control_orgconf3.tif:50,437.478,252,2592
51,Control_orgconf3.tif:51,436.398,248,1709
52,Control_orgconf3.tif:52,434.156,233,1251
53,Control_orgconf3.tif:53,432.731,238,1862
54,Control_orgconf3.tif:54,429.266,244,2066
55,Control_orgconf3.tif:55,427.058,254,2054
56,Control_orgconf3.tif:56,423.958,251,1649
57,Control_orgconf3.tif:57,421.596,240,1515
58,Control_orgconf3.tif:58,418.561,254,2421
59,Control_orgconf3.tif:59,414.929,248,2752
60,Control_orgconf3.tif:60,410.125,247,2393
61,Control_orgconf3.tif:61,409.347,244,1526
62,Control_orgconf3.tif:62,405.410,248,1181
63,Control_orgconf3.tif:63,403.024,249,1605
64,Control_orgconf3.tif:64,404.620,249,1926
65,Control_orgconf3.tif:65,401.536,249,1370
66,Control_orgconf3.tif:66,398.928,252,1453
67,Control_orgconf3.tif:67,397.187,243,1569
68,Control_orgconf3.tif:68,395.300,255,1732
69,Control_orgconf3.tif:69,393.962,249,1891
70,Control_orgconf3.tif:70,394.161,231,1628
71,Control_orgconf3.tif:71,390.743,253,1192
72,Control_orgconf3.tif:72,389.064,244,893
73,Control_orgconf3.tif:73,387.314,246,898
74,Control_orgconf3.tif:74,387.054,250,878
75,Control_orgconf3.tif:75,384.488,241,799
76,Control_orgconf3.tif:76,383.808,243,722
77,Control_orgconf3.tif:77,381.848,212,759
78,Control_orgconf3.tif:78,380.611,244,755
79,Control_orgconf3.tif:79,379.313,250,660
80,Control_orgconf3.tif:80,379.020,243,603
81,Control_orgconf3.tif:81,376.661,246,600
82,Control_orgconf3.tif:82,375.121,237,570
83,Control_orgconf3.tif:83,375.353,235,570
84,Control_orgconf3.tif:84,373.482,246,561
85,Control_orgconf3.tif:85,373.247,251,555
86,Control_orgconf3.tif:86,372.147,228,544
87,Control_orgconf3.tif:87,371.605,249,543
88,Control_orgconf3.tif:88,372.391,224,542
89,Control_orgconf3.tif:89,372.493,231,545
90,Control_orgconf3.tif:90,371.032,249,533
91,Control_orgconf3.tif:91,369.484,242,531
92,Control_orgconf3.tif:92,368.805,245,523
93,Control_orgconf3.tif:93,368.504,236,519
94,Control_orgconf3.tif:94,367.774,217,507
95,Control_orgconf3.tif:95,367.360,240,505
96,Control_orgconf3.tif:96,367.622,228,499
97,Control_orgconf3.tif:97,367.613,234,497
98,Control_orgconf3.tif:98,366.975,240,499
99,Control_orgconf3.tif:99,366.095,237,492
100,Control_orgconf3.tif:100,366.397,245,496
101,Control_orgconf3.tif:101,365.532,245,491
102,Control_orgconf3.tif:102,365.220,247,490
103,Control_orgconf3.tif:103,366.339,238,485
104,Control_orgconf3.tif:104,364.739,234,497
105,Control_orgconf3.tif:105,363.691,237,491
106,Control_orgconf3.tif:106,363.482,247,484
107,Control_orgconf3.tif:107,363.790,225,475
108,Control_orgconf3.tif:108,363.053,245,484
109,Control_orgconf3.tif:109,364.491,240,491
110,Control_orgconf3.tif:110,362.849,238,473
111,Control_orgconf3.tif:111,361.986,235,483
112,Control_orgconf3.tif:112,360.998,248,473
113,Control_orgconf3.tif:113,361.438,242,475
114,Control_orgconf3.tif:114,359.380,246,470
115,Control_orgconf3.tif:115,360.239,235,472
116,Control_orgconf3.tif:116,361.823,237,470
117,Control_orgconf3.tif:117,360.101,246,471
118,Control_orgconf3.tif:118,360.298,230,467
119,Control_orgconf3.tif:119,361.894,244,474
120,Control_orgconf3.tif:120,359.949,236,479
121,Control_orgconf3.tif:121,361.613,241,467
122,Control_orgconf3.tif:122,359.528,245,475
123,Control_orgconf3.tif:123,356.846,230,466
124,Control_orgconf3.tif:124,358.150,235,471
125,Control_orgconf3.tif:125,358.040,240,458
126,Control_orgconf3.tif:126,358.068,224,469
127,Control_orgconf3.tif:127,359.305,237,457
128,Control_orgconf3.tif:128,358.777,242,461
129,Control_orgconf3.tif:129,358.047,240,464
130,Control_orgconf3.tif:130,357.216,233,460
131,Control_orgconf3.tif:131,354.745,241,459
132,Control_orgconf3.tif:132,356.886,231,463
133,Control_orgconf3.tif:133,357.064,231,468
134,Control_orgconf3.tif:134,358.522,243,468
135,Control_orgconf3.tif:135,357.186,234,468
136,Control_orgconf3.tif:136,357.618,241,463
137,Control_orgconf3.tif:137,357.266,241,459
138,Control_orgconf3.tif:138,356.887,238,458
139,Control_orgconf3.tif:139,354.572,239,460
140,Control_orgconf3.tif:140,0.000,0,0
141,Control_orgconf3.tif:141,0.000,0,0
