 ,Label,Mean,Min,Max
1,Fructose_org2.tif:1,0.000,0,0
2,Fructose_org2.tif:2,0.000,0,0
3,Fructose_org2.tif:3,580.376,255,1150
4,Fructose_org2.tif:4,592.644,265,1303
5,Fructose_org2.tif:5,606.545,281,1513
6,Fructose_org2.tif:6,623.666,317,1787
7,Fructose_org2.tif:7,643.947,336,2129
8,Fructose_org2.tif:8,668.480,327,2559
9,Fructose_org2.tif:9,700.753,313,3175
10,Fructose_org2.tif:10,739.697,307,3963
11,Fructose_org2.tif:11,786.917,313,5031
12,Fructose_org2.tif:12,843.650,335,6286
13,Fructose_org2.tif:13,910.049,337,7680
14,Fructose_org2.tif:14,990.575,327,8634
15,Fructose_org2.tif:15,1090.415,329,9315
16,Fructose_org2.tif:16,1215.045,356,10269
17,Fructose_org2.tif:17,1367.143,351,11359
18,Fructose_org2.tif:18,1546.928,353,12685
19,Fructose_org2.tif:19,1753.398,357,14216
20,Fructose_org2.tif:20,1984.206,371,15734
21,Fructose_org2.tif:21,2236.203,373,16940
22,Fructose_org2.tif:22,2505.275,400,17997
23,Fructose_org2.tif:23,2792.147,395,18352
24,Fructose_org2.tif:24,3098.538,399,19236
25,Fructose_org2.tif:25,3426.747,411,23276
26,Fructose_org2.tif:26,3782.536,430,28596
27,Fructose_org2.tif:27,4164.333,459,33069
28,Fructose_org2.tif:28,4569.051,468,35997
29,Fructose_org2.tif:29,5000.964,477,37202
30,Fructose_org2.tif:30,5445.045,501,36521
31,Fructose_org2.tif:31,5895.148,506,33669
32,Fructose_org2.tif:32,6353.740,536,29636
33,Fructose_org2.tif:33,6833.915,549,31206
34,Fructose_org2.tif:34,7346.152,599,35085
35,Fructose_org2.tif:35,7904.744,624,35304
36,Fructose_org2.tif:36,8520.816,618,38789
37,Fructose_org2.tif:37,9196.771,631,40737
38,Fructose_org2.tif:38,9933.534,707,39905
39,Fructose_org2.tif:39,10727.339,709,36986
40,Fructose_org2.tif:40,11562.053,778,41667
41,Fructose_org2.tif:41,12408.753,818,47328
42,Fructose_org2.tif:42,13236.671,892,49572
43,Fructose_org2.tif:43,14027.446,947,47873
44,Fructose_org2.tif:44,14751.892,999,44989
45,Fructose_org2.tif:45,15406.259,1067,44543
46,Fructose_org2.tif:46,15995.932,1137,44127
47,Fructose_org2.tif:47,16535.061,1230,41318
48,Fructose_org2.tif:48,17031.093,1348,37601
49,Fructose_org2.tif:49,17497.417,1458,36196
50,Fructose_org2.tif:50,17937.987,1665,36716
51,Fructose_org2.tif:51,18354.178,1837,39562
52,Fructose_org2.tif:52,18725.551,2003,41271
53,Fructose_org2.tif:53,19039.014,2255,40787
54,Fructose_org2.tif:54,19286.347,2513,38529
55,Fructose_org2.tif:55,19481.774,2867,35452
56,Fructose_org2.tif:56,19641.029,3132,32512
57,Fructose_org2.tif:57,19786.296,3497,32403
58,Fructose_org2.tif:58,19934.146,3916,37392
59,Fructose_org2.tif:59,20096.408,4508,40665
60,Fructose_org2.tif:60,20286.703,5350,40588
61,Fructose_org2.tif:61,20508.791,6609,41068
62,Fructose_org2.tif:62,20774.549,8162,38799
63,Fructose_org2.tif:63,21089.461,9890,34208
64,Fructose_org2.tif:64,21451.998,10182,31124
65,Fructose_org2.tif:65,21874.101,10147,31062
66,Fructose_org2.tif:66,22332.771,10420,31780
