 ,Label,Mean,Min,Max
1,Fructose_org4_angle1.tif:1,0,0,0
2,Fructose_org4_angle1.tif:2,0,0,0
3,Fructose_org4_angle1.tif:3,0,0,0
4,Fructose_org4_angle1.tif:4,0,0,0
5,Fructose_org4_angle1.tif:5,0,0,0
6,Fructose_org4_angle1.tif:6,0,0,0
7,Fructose_org4_angle1.tif:7,0,0,0
8,Fructose_org4_angle1.tif:8,0,0,0
9,Fructose_org4_angle1.tif:9,0,0,0
10,Fructose_org4_angle1.tif:10,0,0,0
11,Fructose_org4_angle1.tif:11,0,0,0
12,Fructose_org4_angle1.tif:12,0,0,0
13,Fructose_org4_angle1.tif:13,0,0,0
14,Fructose_org4_angle1.tif:14,0,0,0
15,Fructose_org4_angle1.tif:15,0,0,0
16,Fructose_org4_angle1.tif:16,0,0,0
17,Fructose_org4_angle1.tif:17,0,0,0
18,Fructose_org4_angle1.tif:18,0,0,0
19,Fructose_org4_angle1.tif:19,0,0,0
20,Fructose_org4_angle1.tif:20,0,0,0
21,Fructose_org4_angle1.tif:21,0,0,0
22,Fructose_org4_angle1.tif:22,0,0,0
23,Fructose_org4_angle1.tif:23,0,0,0
24,Fructose_org4_angle1.tif:24,0,0,0
25,Fructose_org4_angle1.tif:25,0,0,0
26,Fructose_org4_angle1.tif:26,0,0,0
27,Fructose_org4_angle1.tif:27,0,0,0
28,Fructose_org4_angle1.tif:28,0,0,0
29,Fructose_org4_angle1.tif:29,0,0,0
30,Fructose_org4_angle1.tif:30,0,0,0
31,Fructose_org4_angle1.tif:31,0,0,0
32,Fructose_org4_angle1.tif:32,0,0,0
33,Fructose_org4_angle1.tif:33,377.771,252,736
34,Fructose_org4_angle1.tif:34,387.369,251,958
35,Fructose_org4_angle1.tif:35,401.622,262,1303
36,Fructose_org4_angle1.tif:36,418.218,269,1884
37,Fructose_org4_angle1.tif:37,439.964,267,2700
38,Fructose_org4_angle1.tif:38,469.092,271,3874
39,Fructose_org4_angle1.tif:39,507.083,275,5185
40,Fructose_org4_angle1.tif:40,555.869,277,6479
41,Fructose_org4_angle1.tif:41,616.473,272,7682
42,Fructose_org4_angle1.tif:42,688.125,278,8499
43,Fructose_org4_angle1.tif:43,768.975,282,9560
44,Fructose_org4_angle1.tif:44,858.191,280,10742
45,Fructose_org4_angle1.tif:45,953.896,284,12856
46,Fructose_org4_angle1.tif:46,1053.430,292,14302
47,Fructose_org4_angle1.tif:47,1156.363,293,15130
48,Fructose_org4_angle1.tif:48,1263.314,290,15331
49,Fructose_org4_angle1.tif:49,1375.471,295,15107
50,Fructose_org4_angle1.tif:50,1497.861,293,14604
51,Fructose_org4_angle1.tif:51,1629.065,300,13805
52,Fructose_org4_angle1.tif:52,1773.537,304,14408
53,Fructose_org4_angle1.tif:53,1930.869,302,14744
54,Fructose_org4_angle1.tif:54,2095.590,310,16648
55,Fructose_org4_angle1.tif:55,2264.911,309,18140
56,Fructose_org4_angle1.tif:56,2437.372,312,19167
57,Fructose_org4_angle1.tif:57,2606.308,308,19100
58,Fructose_org4_angle1.tif:58,2769.232,316,18706
59,Fructose_org4_angle1.tif:59,2925.558,317,17947
60,Fructose_org4_angle1.tif:60,3074.445,317,17062
61,Fructose_org4_angle1.tif:61,3217.939,326,15948
62,Fructose_org4_angle1.tif:62,3360.217,323,18467
63,Fructose_org4_angle1.tif:63,3503.693,327,19888
64,Fructose_org4_angle1.tif:64,3650.160,328,19584
65,Fructose_org4_angle1.tif:65,3799.231,335,21865
66,Fructose_org4_angle1.tif:66,3948.810,332,25790
67,Fructose_org4_angle1.tif:67,4104.318,345,29066
68,Fructose_org4_angle1.tif:68,4255.623,342,31300
69,Fructose_org4_angle1.tif:69,4407.938,348,31197
70,Fructose_org4_angle1.tif:70,4558.042,348,29711
71,Fructose_org4_angle1.tif:71,4701.529,358,26616
72,Fructose_org4_angle1.tif:72,4836.376,364,22636
73,Fructose_org4_angle1.tif:73,4963.593,367,20221
74,Fructose_org4_angle1.tif:74,5074.410,371,19136
75,Fructose_org4_angle1.tif:75,5175.515,379,18206
76,Fructose_org4_angle1.tif:76,5265.814,366,17824
77,Fructose_org4_angle1.tif:77,5351.241,380,20287
78,Fructose_org4_angle1.tif:78,5433.846,401,22536
79,Fructose_org4_angle1.tif:79,5516.317,395,25539
80,Fructose_org4_angle1.tif:80,5597.202,403,27676
81,Fructose_org4_angle1.tif:81,5682.248,416,28102
82,Fructose_org4_angle1.tif:82,5764.024,422,26800
83,Fructose_org4_angle1.tif:83,5838.434,428,23768
84,Fructose_org4_angle1.tif:84,5909.123,428,25413
85,Fructose_org4_angle1.tif:85,5973.544,441,28819
86,Fructose_org4_angle1.tif:86,6039.487,450,31017
87,Fructose_org4_angle1.tif:87,6117.028,465,31280
88,Fructose_org4_angle1.tif:88,6206.361,469,29809
89,Fructose_org4_angle1.tif:89,6303.941,475,26541
90,Fructose_org4_angle1.tif:90,6402.960,476,22260
91,Fructose_org4_angle1.tif:91,6499.414,499,20617
92,Fructose_org4_angle1.tif:92,6592.502,512,18860
93,Fructose_org4_angle1.tif:93,6682.399,523,16880
94,Fructose_org4_angle1.tif:94,6763.727,552,17952
95,Fructose_org4_angle1.tif:95,6843.547,586,18204
96,Fructose_org4_angle1.tif:96,6927.727,636,17536
97,Fructose_org4_angle1.tif:97,7010.804,687,16090
98,Fructose_org4_angle1.tif:98,7107.499,737,15206
99,Fructose_org4_angle1.tif:99,7215.442,753,15475
100,Fructose_org4_angle1.tif:100,7332.836,725,16083
101,Fructose_org4_angle1.tif:101,7466.551,727,17178
102,Fructose_org4_angle1.tif:102,7605.630,739,18972
103,Fructose_org4_angle1.tif:103,7747.945,785,20244
104,Fructose_org4_angle1.tif:104,7886.035,854,20767
105,Fructose_org4_angle1.tif:105,8018.409,937,21008
106,Fructose_org4_angle1.tif:106,8136.225,1022,19531
107,Fructose_org4_angle1.tif:107,8237.943,1112,19840
108,Fructose_org4_angle1.tif:108,8313.553,1275,22928
109,Fructose_org4_angle1.tif:109,8365.100,1457,25284
110,Fructose_org4_angle1.tif:110,8393.499,1717,27204
111,Fructose_org4_angle1.tif:111,8403.719,2054,27222
112,Fructose_org4_angle1.tif:112,8407.480,2387,26342
113,Fructose_org4_angle1.tif:113,8408.479,2637,24742
114,Fructose_org4_angle1.tif:114,8412.188,2821,22638
115,Fructose_org4_angle1.tif:115,8426.091,2876,20336
116,Fructose_org4_angle1.tif:116,8438.467,2937,19224
117,Fructose_org4_angle1.tif:117,8455.899,3002,18063
118,Fructose_org4_angle1.tif:118,8479.731,3035,18958
119,Fructose_org4_angle1.tif:119,8506.337,3182,19222
120,Fructose_org4_angle1.tif:120,8539.025,3271,18807
121,Fructose_org4_angle1.tif:121,8588.559,3181,17941
122,Fructose_org4_angle1.tif:122,8644.844,3138,18563
123,Fructose_org4_angle1.tif:123,8718.269,3083,19325
124,Fructose_org4_angle1.tif:124,8803.288,3026,19045
