 ,Label,Mean,Min,Max
1,Fructose_orgconf2.tif:1,0.000,0,0
2,Fructose_orgconf2.tif:2,556.821,301,1575
3,Fructose_orgconf2.tif:3,594.796,324,3056
4,Fructose_orgconf2.tif:4,651.692,323,6580
5,Fructose_orgconf2.tif:5,775.181,330,13169
6,Fructose_orgconf2.tif:6,944.034,345,19193
7,Fructose_orgconf2.tif:7,1093.962,343,16668
8,Fructose_orgconf2.tif:8,1194.538,349,21459
9,Fructose_orgconf2.tif:9,1247.891,333,28783
10,Fructose_orgconf2.tif:10,1264.976,361,28088
11,Fructose_orgconf2.tif:11,1261.439,368,21825
12,Fructose_orgconf2.tif:12,1239.823,364,20422
13,Fructose_orgconf2.tif:13,1216.694,361,18481
14,Fructose_orgconf2.tif:14,1203.433,366,24329
15,Fructose_orgconf2.tif:15,1187.732,371,20292
16,Fructose_orgconf2.tif:16,1168.629,375,21908
17,Fructose_orgconf2.tif:17,1149.909,375,27621
18,Fructose_orgconf2.tif:18,1128.847,366,25110
19,Fructose_orgconf2.tif:19,1110.751,378,24566
20,Fructose_orgconf2.tif:20,1100.599,371,18600
21,Fructose_orgconf2.tif:21,1088.937,388,17164
22,Fructose_orgconf2.tif:22,1073.814,387,21089
23,Fructose_orgconf2.tif:23,1065.171,375,17611
24,Fructose_orgconf2.tif:24,1055.367,378,11425
25,Fructose_orgconf2.tif:25,1040.229,382,9340
26,Fructose_orgconf2.tif:26,1028.795,377,8342
27,Fructose_orgconf2.tif:27,1020.787,408,12042
28,Fructose_orgconf2.tif:28,1015.864,421,12845
29,Fructose_orgconf2.tif:29,1003.692,436,8830
30,Fructose_orgconf2.tif:30,992.488,438,4331
31,Fructose_orgconf2.tif:31,980.796,439,3093
32,Fructose_orgconf2.tif:32,975.659,438,4045
33,Fructose_orgconf2.tif:33,954.518,444,4585
34,Fructose_orgconf2.tif:34,945.456,445,4426
35,Fructose_orgconf2.tif:35,935.228,420,3734
36,Fructose_orgconf2.tif:36,927.969,443,3144
37,Fructose_orgconf2.tif:37,921.634,450,2894
38,Fructose_orgconf2.tif:38,918.839,435,2631
39,Fructose_orgconf2.tif:39,909.965,441,2238
40,Fructose_orgconf2.tif:40,901.145,448,2083
41,Fructose_orgconf2.tif:41,893.149,469,2015
42,Fructose_orgconf2.tif:42,889.109,467,3401
43,Fructose_orgconf2.tif:43,880.278,470,4394
44,Fructose_orgconf2.tif:44,872.447,457,3313
45,Fructose_orgconf2.tif:45,872.593,470,2060
46,Fructose_orgconf2.tif:46,862.771,462,1866
47,Fructose_orgconf2.tif:47,840.745,442,1963
48,Fructose_orgconf2.tif:48,834.794,449,2153
49,Fructose_orgconf2.tif:49,829.822,427,1829
50,Fructose_orgconf2.tif:50,819.727,438,1740
51,Fructose_orgconf2.tif:51,808.982,453,1908
52,Fructose_orgconf2.tif:52,800.644,433,1805
53,Fructose_orgconf2.tif:53,798.573,436,1611
54,Fructose_orgconf2.tif:54,785.359,426,1643
55,Fructose_orgconf2.tif:55,777.901,413,1650
56,Fructose_orgconf2.tif:56,772.730,435,1365
57,Fructose_orgconf2.tif:57,766.654,427,1688
58,Fructose_orgconf2.tif:58,763.426,433,1710
59,Fructose_orgconf2.tif:59,751.264,437,1272
60,Fructose_orgconf2.tif:60,747.322,435,1309
61,Fructose_orgconf2.tif:61,743.058,431,1278
62,Fructose_orgconf2.tif:62,734.130,431,1208
63,Fructose_orgconf2.tif:63,732.013,446,1201
64,Fructose_orgconf2.tif:64,736.339,439,1227
65,Fructose_orgconf2.tif:65,725.956,439,1263
66,Fructose_orgconf2.tif:66,730.069,453,1344
67,Fructose_orgconf2.tif:67,720.765,448,1306
68,Fructose_orgconf2.tif:68,717.275,440,1215
69,Fructose_orgconf2.tif:69,714.264,444,1234
70,Fructose_orgconf2.tif:70,711.615,454,1141
71,Fructose_orgconf2.tif:71,712.888,440,1185
72,Fructose_orgconf2.tif:72,702.624,437,1192
73,Fructose_orgconf2.tif:73,698.940,429,1145
74,Fructose_orgconf2.tif:74,693.496,422,1233
75,Fructose_orgconf2.tif:75,694.075,416,1356
76,Fructose_orgconf2.tif:76,681.859,435,1354
77,Fructose_orgconf2.tif:77,676.692,405,1206
78,Fructose_orgconf2.tif:78,664.941,411,1088
79,Fructose_orgconf2.tif:79,660.632,396,1154
80,Fructose_orgconf2.tif:80,657.376,393,1110
81,Fructose_orgconf2.tif:81,664.487,425,977
82,Fructose_orgconf2.tif:82,656.362,410,1022
83,Fructose_orgconf2.tif:83,653.883,405,972
84,Fructose_orgconf2.tif:84,656.835,415,963
85,Fructose_orgconf2.tif:85,648.883,399,960
86,Fructose_orgconf2.tif:86,646.711,400,973
87,Fructose_orgconf2.tif:87,643.516,407,973
88,Fructose_orgconf2.tif:88,641.329,404,986
89,Fructose_orgconf2.tif:89,638.974,395,908
90,Fructose_orgconf2.tif:90,631.921,380,903
91,Fructose_orgconf2.tif:91,637.192,377,911
92,Fructose_orgconf2.tif:92,629.337,374,918
93,Fructose_orgconf2.tif:93,628.377,393,888
94,Fructose_orgconf2.tif:94,626.597,357,912
95,Fructose_orgconf2.tif:95,625.252,383,920
96,Fructose_orgconf2.tif:96,627.909,361,918
97,Fructose_orgconf2.tif:97,620.156,381,884
98,Fructose_orgconf2.tif:98,609.491,379,856
99,Fructose_orgconf2.tif:99,616.220,380,852
100,Fructose_orgconf2.tif:100,608.435,374,863
101,Fructose_orgconf2.tif:101,607.329,381,835
102,Fructose_orgconf2.tif:102,604.907,369,827
103,Fructose_orgconf2.tif:103,609.404,353,830
104,Fructose_orgconf2.tif:104,600.544,361,811
105,Fructose_orgconf2.tif:105,598.313,347,805
106,Fructose_orgconf2.tif:106,596.749,354,799
107,Fructose_orgconf2.tif:107,594.404,368,802
108,Fructose_orgconf2.tif:108,599.149,360,835
109,Fructose_orgconf2.tif:109,589.488,361,814
110,Fructose_orgconf2.tif:110,588.593,352,798
111,Fructose_orgconf2.tif:111,593.405,345,793
112,Fructose_orgconf2.tif:112,585.378,335,783
113,Fructose_orgconf2.tif:113,583.890,343,781
114,Fructose_orgconf2.tif:114,582.695,354,769
115,Fructose_orgconf2.tif:115,580.667,346,768
116,Fructose_orgconf2.tif:116,579.751,320,778
117,Fructose_orgconf2.tif:117,577.518,350,773
118,Fructose_orgconf2.tif:118,575.608,334,763
119,Fructose_orgconf2.tif:119,574.091,331,756
120,Fructose_orgconf2.tif:120,569.387,330,757
121,Fructose_orgconf2.tif:121,568.775,335,754
122,Fructose_orgconf2.tif:122,567.446,329,749
123,Fructose_orgconf2.tif:123,566.644,331,764
124,Fructose_orgconf2.tif:124,571.264,317,779
125,Fructose_orgconf2.tif:125,569.794,320,760
126,Fructose_orgconf2.tif:126,561.437,312,733
127,Fructose_orgconf2.tif:127,559.600,313,737
128,Fructose_orgconf2.tif:128,558.466,323,737
129,Fructose_orgconf2.tif:129,555.617,318,746
130,Fructose_orgconf2.tif:130,554.146,311,743
131,Fructose_orgconf2.tif:131,554.234,305,721
132,Fructose_orgconf2.tif:132,556.972,317,731
133,Fructose_orgconf2.tif:133,555.287,285,725
134,Fructose_orgconf2.tif:134,554.473,293,718
135,Fructose_orgconf2.tif:135,547.459,281,718
136,Fructose_orgconf2.tif:136,544.478,292,699
137,Fructose_orgconf2.tif:137,548.433,306,719
138,Fructose_orgconf2.tif:138,547.532,296,711
139,Fructose_orgconf2.tif:139,538.408,295,697
140,Fructose_orgconf2.tif:140,0.000,0,0
