 ,Label,Mean,Min,Max
1,ScaleA2_org2_angle1.tif:1,0.000,0,0
2,ScaleA2_org2_angle1.tif:2,0.000,0,0
3,ScaleA2_org2_angle1.tif:3,0.000,0,0
4,ScaleA2_org2_angle1.tif:4,14.463,0,443
5,ScaleA2_org2_angle1.tif:5,323.627,231,443
6,ScaleA2_org2_angle1.tif:6,326.038,225,457
7,ScaleA2_org2_angle1.tif:7,327.665,230,466
8,ScaleA2_org2_angle1.tif:8,323.788,233,425
9,ScaleA2_org2_angle1.tif:9,320.729,224,436
10,ScaleA2_org2_angle1.tif:10,319.548,233,436
11,ScaleA2_org2_angle1.tif:11,319.785,234,437
12,ScaleA2_org2_angle1.tif:12,321.305,235,435
13,ScaleA2_org2_angle1.tif:13,323.855,232,433
14,ScaleA2_org2_angle1.tif:14,327.086,224,468
15,ScaleA2_org2_angle1.tif:15,331.050,235,469
16,ScaleA2_org2_angle1.tif:16,335.503,233,497
17,ScaleA2_org2_angle1.tif:17,340.271,238,564
18,ScaleA2_org2_angle1.tif:18,346.287,236,696
19,ScaleA2_org2_angle1.tif:19,354.227,237,1093
20,ScaleA2_org2_angle1.tif:20,365.802,240,1750
21,ScaleA2_org2_angle1.tif:21,382.384,239,2586
22,ScaleA2_org2_angle1.tif:22,407.039,241,3645
23,ScaleA2_org2_angle1.tif:23,443.624,241,5385
24,ScaleA2_org2_angle1.tif:24,496.003,240,9031
25,ScaleA2_org2_angle1.tif:25,564.702,246,12511
26,ScaleA2_org2_angle1.tif:26,644.868,246,14035
27,ScaleA2_org2_angle1.tif:27,729.304,254,15423
28,ScaleA2_org2_angle1.tif:28,814.130,250,19317
29,ScaleA2_org2_angle1.tif:29,896.841,251,19801
30,ScaleA2_org2_angle1.tif:30,978.565,253,21604
31,ScaleA2_org2_angle1.tif:31,1065.118,253,21518
32,ScaleA2_org2_angle1.tif:32,1161.624,253,18462
33,ScaleA2_org2_angle1.tif:33,1266.647,259,12934
34,ScaleA2_org2_angle1.tif:34,1376.951,269,10134
35,ScaleA2_org2_angle1.tif:35,1487.746,266,12129
36,ScaleA2_org2_angle1.tif:36,1591.158,275,17423
37,ScaleA2_org2_angle1.tif:37,1682.502,271,20772
38,ScaleA2_org2_angle1.tif:38,1762.195,283,19925
39,ScaleA2_org2_angle1.tif:39,1825.405,277,16831
40,ScaleA2_org2_angle1.tif:40,1874.411,278,23136
41,ScaleA2_org2_angle1.tif:41,1910.453,280,26908
42,ScaleA2_org2_angle1.tif:42,1935.035,284,24047
43,ScaleA2_org2_angle1.tif:43,1947.582,292,15459
44,ScaleA2_org2_angle1.tif:44,1958.900,293,15126
45,ScaleA2_org2_angle1.tif:45,1968.628,294,19503
46,ScaleA2_org2_angle1.tif:46,1979.937,297,21784
47,ScaleA2_org2_angle1.tif:47,1994.941,294,19321
48,ScaleA2_org2_angle1.tif:48,2016.886,301,16243
49,ScaleA2_org2_angle1.tif:49,2050.684,304,22112
50,ScaleA2_org2_angle1.tif:50,2099.655,311,25001
51,ScaleA2_org2_angle1.tif:51,2161.719,309,23096
52,ScaleA2_org2_angle1.tif:52,2239.270,308,17022
53,ScaleA2_org2_angle1.tif:53,2328.248,306,11576
54,ScaleA2_org2_angle1.tif:54,2417.258,319,16585
55,ScaleA2_org2_angle1.tif:55,2498.570,329,17910
56,ScaleA2_org2_angle1.tif:56,2559.949,320,17973
57,ScaleA2_org2_angle1.tif:57,2590.869,334,17529
58,ScaleA2_org2_angle1.tif:58,2594.187,338,17002
59,ScaleA2_org2_angle1.tif:59,2580.946,338,13519
60,ScaleA2_org2_angle1.tif:60,2561.013,338,10513
61,ScaleA2_org2_angle1.tif:61,2547.304,351,11182
62,ScaleA2_org2_angle1.tif:62,2547.599,345,10879
63,ScaleA2_org2_angle1.tif:63,2565.618,353,12190
64,ScaleA2_org2_angle1.tif:64,2599.564,368,19590
65,ScaleA2_org2_angle1.tif:65,2644.049,372,29809
66,ScaleA2_org2_angle1.tif:66,2691.260,383,44866
67,ScaleA2_org2_angle1.tif:67,2739.240,382,55860
68,ScaleA2_org2_angle1.tif:68,2786.278,402,51208
69,ScaleA2_org2_angle1.tif:69,2826.721,428,32941
70,ScaleA2_org2_angle1.tif:70,2861.232,447,21610
71,ScaleA2_org2_angle1.tif:71,2888.982,450,23881
72,ScaleA2_org2_angle1.tif:72,2910.507,465,30302
73,ScaleA2_org2_angle1.tif:73,2926.460,486,29572
74,ScaleA2_org2_angle1.tif:74,2936.610,509,23024
75,ScaleA2_org2_angle1.tif:75,2941.879,518,14897
76,ScaleA2_org2_angle1.tif:76,2944.112,538,11928
77,ScaleA2_org2_angle1.tif:77,2938.851,549,9320
78,ScaleA2_org2_angle1.tif:78,2928.246,540,9059
79,ScaleA2_org2_angle1.tif:79,2912.989,571,6952
80,ScaleA2_org2_angle1.tif:80,2898.611,582,6225
81,ScaleA2_org2_angle1.tif:81,2887.692,586,7607
82,ScaleA2_org2_angle1.tif:82,2884.543,600,7905
83,ScaleA2_org2_angle1.tif:83,2887.460,633,7856
84,ScaleA2_org2_angle1.tif:84,2896.969,681,6904
85,ScaleA2_org2_angle1.tif:85,2913.110,738,6197
86,ScaleA2_org2_angle1.tif:86,2929.339,799,6565
87,ScaleA2_org2_angle1.tif:87,2939.887,829,6192
88,ScaleA2_org2_angle1.tif:88,2944.167,881,5218
89,ScaleA2_org2_angle1.tif:89,2943.841,955,4969
90,ScaleA2_org2_angle1.tif:90,2939.907,985,4837
91,ScaleA2_org2_angle1.tif:91,2934.775,1004,5265
