 ,Label,Mean,Min,Max
1,ScaleA2_org3.tif:1,0.000,0,0
2,ScaleA2_org3.tif:2,0.000,0,0
3,ScaleA2_org3.tif:3,0.000,0,0
4,ScaleA2_org3.tif:4,0.000,0,0
5,ScaleA2_org3.tif:5,0.000,0,0
6,ScaleA2_org3.tif:6,0.000,0,0
7,ScaleA2_org3.tif:7,0.000,0,0
8,ScaleA2_org3.tif:8,0.000,0,0
9,ScaleA2_org3.tif:9,0.000,0,0
10,ScaleA2_org3.tif:10,0.000,0,0
11,ScaleA2_org3.tif:11,0.000,0,0
12,ScaleA2_org3.tif:12,0.000,0,0
13,ScaleA2_org3.tif:13,0.000,0,0
14,ScaleA2_org3.tif:14,11.000,0,368
15,ScaleA2_org3.tif:15,66.526,0,441
16,ScaleA2_org3.tif:16,130.838,0,565
17,ScaleA2_org3.tif:17,205.643,0,584
18,ScaleA2_org3.tif:18,291.349,0,703
19,ScaleA2_org3.tif:19,385.723,0,796
20,ScaleA2_org3.tif:20,448.352,246,872
21,ScaleA2_org3.tif:21,450.096,243,894
22,ScaleA2_org3.tif:22,460.692,229,910
23,ScaleA2_org3.tif:23,480.654,228,1078
24,ScaleA2_org3.tif:24,514.832,218,1652
25,ScaleA2_org3.tif:25,571.668,237,2812
26,ScaleA2_org3.tif:26,658.436,242,4399
27,ScaleA2_org3.tif:27,778.440,262,6371
28,ScaleA2_org3.tif:28,928.569,276,8533
29,ScaleA2_org3.tif:29,1101.946,296,12307
30,ScaleA2_org3.tif:30,1290.264,309,17015
31,ScaleA2_org3.tif:31,1484.898,326,20604
32,ScaleA2_org3.tif:32,1681.300,354,21522
33,ScaleA2_org3.tif:33,1878.859,374,24952
34,ScaleA2_org3.tif:34,2078.450,394,30496
35,ScaleA2_org3.tif:35,2278.929,406,33436
36,ScaleA2_org3.tif:36,2478.683,438,33117
37,ScaleA2_org3.tif:37,2675.783,460,28941
38,ScaleA2_org3.tif:38,2863.880,489,26192
39,ScaleA2_org3.tif:39,3036.003,520,25467
40,ScaleA2_org3.tif:40,3181.547,539,21508
41,ScaleA2_org3.tif:41,3303.966,570,26118
42,ScaleA2_org3.tif:42,3415.550,608,31256
43,ScaleA2_org3.tif:43,3522.537,631,27331
44,ScaleA2_org3.tif:44,3621.313,669,22966
45,ScaleA2_org3.tif:45,3708.571,697,20171
46,ScaleA2_org3.tif:46,3790.091,747,20359
47,ScaleA2_org3.tif:47,3875.806,796,19286
48,ScaleA2_org3.tif:48,3971.623,834,16784
49,ScaleA2_org3.tif:49,4075.299,874,15050
50,ScaleA2_org3.tif:50,4179.533,899,13562
51,ScaleA2_org3.tif:51,4275.210,924,14312
52,ScaleA2_org3.tif:52,4357.376,970,13218
53,ScaleA2_org3.tif:53,4430.285,1020,11671
54,ScaleA2_org3.tif:54,4500.906,1076,11965
55,ScaleA2_org3.tif:55,4571.766,1124,11530
56,ScaleA2_org3.tif:56,4643.210,1183,10665
57,ScaleA2_org3.tif:57,4717.158,1212,9728
58,ScaleA2_org3.tif:58,4791.989,1260,10248
59,ScaleA2_org3.tif:59,4864.460,1299,9783
60,ScaleA2_org3.tif:60,4931.486,1347,9576
61,ScaleA2_org3.tif:61,4992.639,1436,11844
